Experiment name,Type,Compare with,Messages_rate,Routing_Keys,Exchanges,Consumers-Queues,Avg_Power_Consumption_mW,avg_disk_access_MB,avg_cpu_usage_%,avg_memory_usage_MB
100_1_Fanout_3_100,Fanout,100_1_Direct_3_100,100,3,3,100,"15098,75",0,"7,27","249,97"
100_1_Fanout_3_500,Fanout,100_1_Direct_3_500,100,3,3,500,"127188,42","123,92","23,17","4706,97"
100_1_Fanout_3_1000,Fanout,100_1_Direct_3_1000,100,3,3,1000,"148390,58","151,21","25,42","9384,35"
300_1_Fanout_3_100,Fanout,300_1_Direct_3_100,300,3,3,100,"39603,3","0,01","16,55","297,52"
300_1_Fanout_3_500,Fanout,300_1_Direct_3_500,300,3,3,500,"165369,74","130,29","29,51","6730,03"
300_1_Fanout_3_1000,Fanout,300_1_Direct_3_1000,300,3,3,1000,"115327,5","83,69","21,13","7331,74"
100_1_Fanout_100_100,Fanout,100_1_Direct_100_100,100,100,100,100,"1321,9",0,"0,75","193,63"
100_1_Fanout_500_500,Fanout,100_1_Direct_500_500,100,500,500,500,"2169,91",0,"1,09","256,57"
100_1_Fanout_1000_1000,Fanout,100_1_Direct_1000_1000,100,1000,1000,1000,"2657,33",0,"1,33","319,98"
300_1_Fanout_100_100,Fanout,300_1_Direct_100_100,300,100,100,100,"3103,79",0,"1,56","192,26"
300_1_Fanout_500_500,Fanout,300_1_Direct_500_500,300,500,500,500,"4441,17","0,02","2,2","289,56"
300_1_Fanout_1000_1000,Fanout,300_1_Direct_1000_1000,300,1000,1000,1000,"5289,06",0,"2,65","396,46"
100_1_Direct_3_100,Direct,,100,3,1,100,"15691,76",0,"7,17","248,39"
100_1_Direct_3_500,Direct,,100,3,1,500,"124619,42","135,19","23,06","4704,67"
100_1_Direct_3_1000,Direct ,,100,3,1,1000,"131837,93","126,79","23,84","7806,6"
300_1_Direct_3_100,Direct,,300,3,1,100,"41587,06",0,"16,23","305,1"
300_1_Direct_3_500,Direct,,300,3,1,500,"177771,49","134,77","30,14","7208,88"
300_1_Direct_3_1000,Direct,,300,3,1,1000,"151291,26","158,84","26,07","10885,45"
100_1_Direct_100_100,Direct,,100,100,1,100,"1513,34",0,"0,73","185,87"
100_1_Direct_500_500,Direct,,100,500,1,500,"2255,48",0,"1,12","252,69"
100_1_Direct_1000_1000,Direct,,100,1000,1,1000,"2829,67",0,"1,46","302,39"
300_1_Direct_100_100,Direct,,300,100,1,100,"3733,45",0,"1,85","191,46"
300_1_Direct_500_500,Direct,,300,500,1,500,"4622,04",0,"2,26","274,09"
300_1_Direct_1000_1000,Direct,,300,1000,1,1000,"5531,35",0,"2,63","369,41"
