"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/share/grafana/bin/grafana","/usr/bin/mongod"
2025-01-17 18:21:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:21:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:21:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:22:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:22:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:22:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:22:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:23:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:23:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:23:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:23:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:24:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:24:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:24:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:24:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:25:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:25:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:25:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:25:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:26:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:26:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:26:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:26:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:27:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:27:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:27:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:27:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:28:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:28:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:28:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:28:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:29:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:29:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:29:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:29:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:30:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:30:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:30:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:30:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:31:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 18:31:15,0 B,0 B,0 B,0 B,0 B
