"Time","core","dram"
2025-01-17 18:21:00,0.325 W,3.88 W
2025-01-17 18:21:30,12.3 W,4.75 W
2025-01-17 18:22:00,10.5 W,4.56 W
2025-01-17 18:22:30,10.8 W,4.57 W
2025-01-17 18:23:00,10.8 W,4.57 W
2025-01-17 18:23:30,11.1 W,4.57 W
2025-01-17 18:24:00,12.0 W,4.62 W
2025-01-17 18:24:30,11.9 W,4.63 W
2025-01-17 18:25:00,11.8 W,4.63 W
2025-01-17 18:25:30,11.6 W,4.62 W
2025-01-17 18:26:00,10.9 W,4.56 W
2025-01-17 18:26:30,10.9 W,4.57 W
2025-01-17 18:27:00,10.9 W,4.57 W
2025-01-17 18:27:30,10.7 W,4.57 W
2025-01-17 18:28:00,11.8 W,4.61 W
2025-01-17 18:28:30,12.0 W,4.63 W
2025-01-17 18:29:00,11.8 W,4.63 W
2025-01-17 18:29:30,10.7 W,4.57 W
2025-01-17 18:30:00,10.9 W,4.57 W
2025-01-17 18:30:30,11.0 W,4.56 W
2025-01-17 18:31:00,10.9 W,4.56 W
2025-01-17 18:31:30,11.8 W,4.63 W
2025-01-17 18:32:00,12.0 W,4.62 W
2025-01-17 18:32:30,11.9 W,4.62 W
2025-01-17 18:33:00,11.6 W,4.63 W
2025-01-17 18:33:30,11.0 W,4.57 W
2025-01-17 18:34:00,11.1 W,4.57 W
2025-01-17 18:34:30,11.2 W,4.58 W
2025-01-17 18:35:00,10.9 W,4.57 W
2025-01-17 18:35:30,10.8 W,4.58 W
2025-01-17 18:36:00,11.9 W,4.63 W
2025-01-17 18:36:30,12.2 W,4.64 W
2025-01-17 18:37:00,12.2 W,4.64 W
2025-01-17 18:37:30,12.1 W,4.64 W
2025-01-17 18:38:00,10.8 W,4.57 W
2025-01-17 18:38:30,11.0 W,4.58 W
2025-01-17 18:39:00,10.9 W,4.57 W
2025-01-17 18:39:30,11.0 W,4.57 W
2025-01-17 18:40:00,11.7 W,4.63 W
2025-01-17 18:40:30,12.0 W,4.64 W
2025-01-17 18:41:00,12.2 W,4.64 W
2025-01-17 18:41:30,12.1 W,4.64 W
2025-01-17 18:42:00,11.0 W,4.58 W
2025-01-17 18:42:30,11.0 W,4.57 W
2025-01-17 18:43:00,11.0 W,4.57 W
2025-01-17 18:43:30,10.9 W,4.57 W
2025-01-17 18:44:00,11.7 W,4.63 W
2025-01-17 18:44:30,11.8 W,4.64 W
2025-01-17 18:45:00,11.9 W,4.64 W
2025-01-17 18:45:30,11.9 W,4.63 W
2025-01-17 18:46:00,10.8 W,4.56 W
2025-01-17 18:46:30,10.9 W,4.57 W
2025-01-17 18:47:00,10.9 W,4.58 W
2025-01-17 18:47:30,11.0 W,4.59 W
2025-01-17 18:48:00,12.0 W,4.65 W
2025-01-17 18:48:30,12.2 W,4.64 W
2025-01-17 18:49:00,11.8 W,4.63 W
2025-01-17 18:49:30,12.3 W,4.66 W
2025-01-17 18:50:00,10.9 W,4.58 W
2025-01-17 18:50:30,11.1 W,4.57 W
2025-01-17 18:51:00,11.0 W,4.57 W
