"Time","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 15:57:00,101 mW,0 W,25.3 mW,12.8 W
2025-01-17 15:57:15,126 mW,0 W,25.3 mW,12.7 W
2025-01-17 15:57:30,76.4 mW,0 W,76.4 mW,12.8 W
2025-01-17 15:57:45,173 mW,0 W,273 mW,12.0 W
2025-01-17 15:58:00,692 mW,0 W,23.9 mW,10.9 W
2025-01-17 15:58:15,551 mW,0 W,47.9 mW,11.0 W
2025-01-17 15:58:30,480 mW,0 W,0 W,11.0 W
2025-01-17 15:58:45,699 mW,0 W,24.1 mW,11.0 W
2025-01-17 15:59:00,390 mW,0 W,24.4 mW,11.2 W
2025-01-17 15:59:15,563 mW,0 W,24.5 mW,11.2 W
2025-01-17 15:59:30,491 mW,0 W,295 mW,11.2 W
2025-01-17 15:59:45,105 mW,0 W,52.3 mW,13.2 W
2025-01-17 16:00:00,181 mW,0 W,25.8 mW,13.0 W
2025-01-17 16:00:15,130 mW,0 W,52.1 mW,13.1 W
2025-01-17 16:00:30,105 mW,0 W,26.2 mW,13.2 W
2025-01-17 16:00:45,129 mW,0 W,0 W,13.0 W
2025-01-17 16:01:00,77.8 mW,0 W,25.9 mW,13.0 W
2025-01-17 16:01:15,383 mW,0 W,23.9 mW,10.9 W
2025-01-17 16:01:30,483 mW,0 W,48.3 mW,11.1 W
2025-01-17 16:01:45,508 mW,0 W,24.2 mW,11.0 W
2025-01-17 16:02:00,412 mW,0 W,485 mW,11.1 W
2025-01-17 16:02:15,359 mW,0 W,23.9 mW,10.9 W
2025-01-17 16:02:30,380 mW,0 W,23.7 mW,10.8 W
2025-01-17 16:02:45,478 mW,0 W,23.9 mW,10.9 W
2025-01-17 16:03:00,273 mW,0 W,49.6 mW,11.9 W
2025-01-17 16:03:15,103 mW,0 W,51.3 mW,12.9 W
2025-01-17 16:03:30,104 mW,0 W,233 mW,13.0 W
2025-01-17 16:03:45,103 mW,0 W,0 W,13.0 W
2025-01-17 16:04:00,127 mW,0 W,25.4 mW,12.7 W
2025-01-17 16:04:15,130 mW,0 W,26.0 mW,13.0 W
2025-01-17 16:04:30,78.1 mW,0 W,0 W,13.1 W
2025-01-17 16:04:45,525 mW,0 W,0 W,10.9 W
2025-01-17 16:05:00,508 mW,0 W,24.2 mW,11.1 W
2025-01-17 16:05:15,628 mW,0 W,24.1 mW,11.1 W
2025-01-17 16:05:30,530 mW,0 W,217 mW,11.0 W
2025-01-17 16:05:45,438 mW,0 W,24.3 mW,11.2 W
2025-01-17 16:06:00,511 mW,0 W,24.4 mW,11.1 W
2025-01-17 16:06:15,324 mW,0 W,24.9 mW,11.6 W
2025-01-17 16:06:30,79.1 mW,0 W,26.4 mW,13.2 W
2025-01-17 16:06:45,103 mW,0 W,51.5 mW,12.9 W
2025-01-17 16:07:00,154 mW,0 W,25.6 mW,12.8 W
2025-01-17 16:07:15,104 mW,0 W,25.9 mW,13.0 W
2025-01-17 16:07:30,129 mW,0 W,51.4 mW,12.6 W
2025-01-17 16:07:45,104 mW,0 W,25.9 mW,13.0 W
2025-01-17 16:08:00,103 mW,0 W,25.8 mW,13.0 W
2025-01-17 16:08:15,456 mW,0 W,0 W,11.0 W
2025-01-17 16:08:30,434 mW,0 W,48.2 mW,11.0 W
2025-01-17 16:08:45,456 mW,0 W,24.0 mW,11.0 W
2025-01-17 16:09:00,431 mW,0 W,575 mW,10.9 W
2025-01-17 16:09:15,558 mW,0 W,48.5 mW,11.1 W
2025-01-17 16:09:30,475 mW,0 W,214 mW,10.9 W
2025-01-17 16:09:45,326 mW,0 W,25.1 mW,12.1 W
2025-01-17 16:10:00,104 mW,0 W,26.0 mW,13.1 W
2025-01-17 16:10:15,104 mW,0 W,25.9 mW,13.0 W
2025-01-17 16:10:30,129 mW,0 W,25.8 mW,13.0 W
2025-01-17 16:10:45,105 mW,0 W,26.2 mW,13.2 W
2025-01-17 16:11:00,104 mW,0 W,0 W,13.1 W
2025-01-17 16:11:15,102 mW,0 W,25.5 mW,12.6 W
2025-01-17 16:11:30,433 mW,0 W,76.5 mW,12.6 W
2025-01-17 16:11:45,581 mW,0 W,24.2 mW,11.1 W
2025-01-17 16:12:00,508 mW,0 W,24.2 mW,11.1 W
2025-01-17 16:12:15,452 mW,0 W,23.8 mW,10.9 W
2025-01-17 16:12:30,442 mW,0 W,24.6 mW,11.3 W
2025-01-17 16:12:45,538 mW,0 W,709 mW,11.2 W
2025-01-17 16:13:00,536 mW,0 W,48.7 mW,11.2 W
2025-01-17 16:13:15,316 mW,0 W,24.3 mW,11.3 W
2025-01-17 16:13:30,129 mW,0 W,283 mW,13.0 W
2025-01-17 16:13:45,77.6 mW,0 W,25.9 mW,13.0 W
2025-01-17 16:14:00,128 mW,0 W,25.5 mW,12.8 W
2025-01-17 16:14:15,105 mW,0 W,26.1 mW,13.1 W
2025-01-17 16:14:30,130 mW,0 W,26.0 mW,13.1 W
2025-01-17 16:14:45,76.5 mW,0 W,0 W,12.8 W
2025-01-17 16:15:00,200 mW,0 W,25.1 mW,12.5 W
2025-01-17 16:15:15,483 mW,0 W,48.3 mW,11.2 W
2025-01-17 16:15:30,435 mW,0 W,774 mW,11.1 W
2025-01-17 16:15:45,508 mW,0 W,24.2 mW,11.1 W
2025-01-17 16:16:00,509 mW,0 W,24.2 mW,11.1 W
2025-01-17 16:16:15,460 mW,0 W,48.4 mW,11.1 W
2025-01-17 16:16:30,604 mW,0 W,24.2 mW,11.0 W
2025-01-17 16:16:45,228 mW,0 W,50.8 mW,12.1 W
2025-01-17 16:17:00,105 mW,0 W,52.4 mW,13.2 W
2025-01-17 16:17:15,104 mW,0 W,52.2 mW,13.1 W
2025-01-17 16:17:30,78.5 mW,0 W,78.5 mW,13.0 W
2025-01-17 16:17:45,131 mW,0 W,549 mW,12.9 W
2025-01-17 16:18:00,130 mW,0 W,26.1 mW,13.1 W
2025-01-17 16:18:15,77.8 mW,0 W,51.9 mW,13.1 W
2025-01-17 16:18:30,103 mW,0 W,25.8 mW,12.9 W
2025-01-17 16:18:45,508 mW,0 W,24.2 mW,11.1 W
2025-01-17 16:19:00,216 mW,0 W,24.0 mW,11.0 W
2025-01-17 16:19:15,437 mW,0 W,0 W,11.2 W
