"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/bin/mongod"
2024-12-19 12:25:30,0 B,0 B,0 B,0 B
2024-12-19 12:25:45,0 B,0 B,0 B,0 B
2024-12-19 12:26:00,0 B,0 B,0 B,0 B
2024-12-19 12:26:15,0 B,0 B,0 B,0 B
2024-12-19 12:26:30,0 B,0 B,0 B,0 B
2024-12-19 12:26:45,0 B,0 B,0 B,0 B
2024-12-19 12:27:00,0 B,0 B,0 B,0 B
2024-12-19 12:27:15,0 B,0 B,0 B,0 B
2024-12-19 12:27:30,0 B,0 B,0 B,0 B
2024-12-19 12:27:45,0 B,0 B,0 B,0 B
2024-12-19 12:28:00,0 B,0 B,0 B,0 B
2024-12-19 12:28:15,0 B,0 B,0 B,0 B
2024-12-19 12:28:30,0 B,0 B,0 B,0 B
2024-12-19 12:28:45,0 B,0 B,0 B,0 B
2024-12-19 12:29:00,0 B,0 B,0 B,0 B
2024-12-19 12:29:15,0 B,0 B,0 B,0 B
2024-12-19 12:29:30,0 B,0 B,0 B,0 B
2024-12-19 12:29:45,0 B,0 B,0 B,0 B
2024-12-19 12:30:00,0 B,0 B,0 B,0 B
2024-12-19 12:30:15,0 B,0 B,0 B,0 B
2024-12-19 12:30:30,0 B,0 B,0 B,0 B
2024-12-19 12:30:45,0 B,0 B,0 B,0 B
2024-12-19 12:31:00,0 B,0 B,0 B,0 B
2024-12-19 12:31:15,0 B,0 B,0 B,0 B
2024-12-19 12:31:30,0 B,0 B,0 B,0 B
2024-12-19 12:31:45,0 B,0 B,0 B,0 B
2024-12-19 12:32:00,0 B,0 B,0 B,0 B
2024-12-19 12:32:15,0 B,0 B,0 B,0 B
2024-12-19 12:32:30,0 B,0 B,0 B,0 B
2024-12-19 12:32:45,0 B,0 B,0 B,0 B
2024-12-19 12:33:00,0 B,0 B,0 B,0 B
2024-12-19 12:33:15,0 B,0 B,0 B,0 B
2024-12-19 12:33:30,0 B,0 B,0 B,0 B
2024-12-19 12:33:45,0 B,0 B,0 B,0 B
2024-12-19 12:34:00,0 B,0 B,0 B,0 B
2024-12-19 12:34:15,0 B,0 B,0 B,0 B
2024-12-19 12:34:30,0 B,0 B,0 B,0 B
2024-12-19 12:34:45,0 B,0 B,0 B,0 B
2024-12-19 12:35:00,0 B,0 B,0 B,0 B
2024-12-19 12:35:15,0 B,0 B,0 B,0 B
2024-12-19 12:35:30,0 B,0 B,0 B,0 B
2024-12-19 12:35:45,0 B,0 B,0 B,0 B
2024-12-19 12:36:00,0 B,0 B,0 B,0 B
2024-12-19 12:36:15,0 B,0 B,0 B,0 B
2024-12-19 12:36:30,0 B,0 B,0 B,0 B
2024-12-19 12:36:45,0 B,0 B,0 B,0 B
2024-12-19 12:37:00,0 B,0 B,0 B,0 B
2024-12-19 12:37:15,0 B,0 B,0 B,0 B
2024-12-19 12:37:30,0 B,0 B,0 B,0 B
2024-12-19 12:37:45,0 B,0 B,0 B,0 B
2024-12-19 12:38:00,0 B,0 B,0 B,0 B
2024-12-19 12:38:15,0 B,0 B,0 B,0 B
2024-12-19 12:38:30,0 B,0 B,0 B,0 B
