"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-19 12:25:30,0 W,1.69 W,475 mW,10.9 W
2024-12-19 12:25:45,0 W,1.85 W,305 mW,10.7 W
2024-12-19 12:26:00,0 W,906 mW,122 mW,12.3 W
2024-12-19 12:26:15,0 W,1.04 W,99.4 mW,12.5 W
2024-12-19 12:26:30,0 W,1.06 W,126 mW,12.7 W
2024-12-19 12:26:45,0 W,1.25 W,125 mW,12.6 W
2024-12-19 12:27:00,0 W,2.82 W,127 mW,12.8 W
2024-12-19 12:27:15,0 W,2.45 W,128 mW,12.9 W
2024-12-19 12:27:30,0 W,2.58 W,362 mW,11.4 W
2024-12-19 12:27:45,0 W,2.61 W,474 mW,10.9 W
2024-12-19 12:28:00,0 W,2.69 W,432 mW,11.0 W
2024-12-19 12:28:15,0 W,2.78 W,383 mW,11.0 W
2024-12-19 12:28:30,0 W,2.02 W,500 mW,11.0 W
2024-12-19 12:28:45,0 W,2.36 W,501 mW,11.0 W
2024-12-19 12:29:00,0 W,2.23 W,455 mW,11.0 W
2024-12-19 12:29:15,0 W,2.83 W,504 mW,11.1 W
2024-12-19 12:29:30,0 W,2.69 W,220 mW,11.8 W
2024-12-19 12:29:45,0 W,2.48 W,102 mW,12.9 W
2024-12-19 12:30:00,0 W,3.03 W,153 mW,12.8 W
2024-12-19 12:30:15,0 W,2.84 W,103 mW,13.0 W
2024-12-19 12:30:30,0 W,2.86 W,128 mW,12.9 W
2024-12-19 12:30:45,0 W,2.78 W,102 mW,12.8 W
2024-12-19 12:31:00,0 W,2.59 W,51.4 mW,12.9 W
2024-12-19 12:31:15,0 W,3.02 W,102 mW,12.9 W
2024-12-19 12:31:30,0 W,2.90 W,480 mW,11.2 W
2024-12-19 12:31:45,0 W,3.02 W,332 mW,10.9 W
2024-12-19 12:32:00,0 W,2.85 W,458 mW,11.0 W
2024-12-19 12:32:15,0 W,2.24 W,433 mW,11.0 W
2024-12-19 12:32:30,0 W,2.56 W,356 mW,10.9 W
2024-12-19 12:32:45,0 W,2.53 W,554 mW,11.1 W
2024-12-19 12:33:00,0 W,2.68 W,455 mW,11.0 W
2024-12-19 12:33:15,0 W,2.89 W,453 mW,10.9 W
2024-12-19 12:33:30,0 W,2.64 W,101 mW,12.7 W
2024-12-19 12:33:45,0 W,2.58 W,128 mW,12.9 W
2024-12-19 12:34:00,0 W,2.73 W,125 mW,12.4 W
2024-12-19 12:34:15,0 W,2.77 W,50.4 mW,12.5 W
2024-12-19 12:34:30,0 W,2.71 W,101 mW,12.7 W
2024-12-19 12:34:45,0 W,2.20 W,125 mW,12.3 W
