"Time","core","dram"
2024-12-18 11:31:00,10.8 W,4.58 W
2024-12-18 11:31:30,10.3 W,4.53 W
2024-12-18 11:32:00,9.91 W,4.52 W
2024-12-18 11:32:30,9.85 W,4.52 W
2024-12-18 11:33:00,11.1 W,4.58 W
2024-12-18 11:33:30,11.2 W,4.59 W
2024-12-18 11:34:00,11.1 W,4.60 W
2024-12-18 11:34:30,10.4 W,4.56 W
2024-12-18 11:35:00,10.0 W,4.53 W
2024-12-18 11:35:30,10.3 W,4.53 W
2024-12-18 11:36:00,10.1 W,4.52 W
2024-12-18 11:36:30,11.0 W,4.61 W
2024-12-18 11:37:00,11.5 W,4.60 W
2024-12-18 11:37:30,11.4 W,4.60 W
2024-12-18 11:38:00,10.2 W,4.51 W
2024-12-18 11:38:30,10.1 W,4.52 W
2024-12-18 11:39:00,10.1 W,4.53 W
2024-12-18 11:39:30,10.2 W,4.51 W
2024-12-18 11:40:00,10.8 W,4.59 W
2024-12-18 11:40:30,10.9 W,4.59 W
2024-12-18 11:41:00,10.9 W,4.60 W
2024-12-18 11:41:30,10.0 W,4.53 W
2024-12-18 11:42:00,10.1 W,4.52 W
2024-12-18 11:42:30,10.1 W,4.52 W
2024-12-18 11:43:00,10.8 W,4.59 W
2024-12-18 11:43:30,11.1 W,4.60 W
2024-12-18 11:44:00,11.1 W,4.60 W
2024-12-18 11:44:30,11.3 W,4.59 W
2024-12-18 11:45:00,10.3 W,4.52 W
2024-12-18 11:45:30,9.96 W,4.53 W
2024-12-18 11:46:00,10.3 W,4.53 W
2024-12-18 11:46:30,11.1 W,4.59 W
2024-12-18 11:47:00,10.9 W,4.59 W
2024-12-18 11:47:30,11.3 W,4.60 W
2024-12-18 11:48:00,11.0 W,4.60 W
2024-12-18 11:48:30,9.98 W,4.53 W
2024-12-18 11:49:00,10.3 W,4.53 W
2024-12-18 11:49:30,10.1 W,4.52 W
2024-12-18 11:50:00,10.8 W,4.56 W
2024-12-18 11:50:30,11.4 W,4.59 W
2024-12-18 11:51:00,11.2 W,4.60 W
2024-12-18 11:51:30,11.3 W,4.60 W
2024-12-18 11:52:00,10.2 W,4.52 W
2024-12-18 11:52:30,9.82 W,4.53 W
2024-12-18 11:53:00,10.2 W,4.53 W
2024-12-18 11:53:30,10.8 W,4.59 W
2024-12-18 11:54:00,10.9 W,4.59 W
2024-12-18 11:54:30,11.2 W,4.59 W
2024-12-18 11:55:00,16.5 W,5.30 W
2024-12-18 11:55:30,10.1 W,4.54 W
2024-12-18 11:56:00,10.2 W,4.52 W
2024-12-18 11:56:30,9.87 W,4.53 W
2024-12-18 11:57:00,10.6 W,4.57 W
2024-12-18 11:57:30,11.1 W,4.60 W
2024-12-18 11:58:00,11.2 W,4.60 W
2024-12-18 11:58:30,11.0 W,4.59 W
2024-12-18 11:59:00,10.2 W,4.53 W
2024-12-18 11:59:30,9.95 W,4.51 W
2024-12-18 12:00:00,9.69 W,4.50 W
2024-12-18 12:00:30,10.2 W,4.51 W
2024-12-18 12:01:00,10.8 W,4.58 W
2024-12-18 12:01:30,11.1 W,4.58 W
