"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 16:33:15,187 mW,631 mW,0 W,23.4 mW,10.6 W
2025-01-17 16:33:30,1.06 W,260 mW,0 W,23.6 mW,10.8 W
2025-01-17 16:33:45,2.90 W,169 mW,0 W,556 mW,11.1 W
2025-01-17 16:34:00,4.14 W,365 mW,0 W,24.4 mW,11.2 W
2025-01-17 16:34:15,3.76 W,516 mW,0 W,24.6 mW,11.5 W
2025-01-17 16:34:30,3.82 W,130 mW,0 W,52.0 mW,13.1 W
2025-01-17 16:34:45,3.61 W,105 mW,0 W,52.4 mW,13.2 W
2025-01-17 16:35:00,3.52 W,105 mW,0 W,0 W,13.3 W
2025-01-17 16:35:15,3.90 W,105 mW,0 W,78.4 mW,13.1 W
2025-01-17 16:35:30,3.48 W,74.6 mW,0 W,24.9 mW,11.6 W
2025-01-17 16:35:45,3.75 W,52.4 mW,0 W,26.2 mW,13.2 W
2025-01-17 16:36:00,3.31 W,130 mW,0 W,52.1 mW,12.9 W
2025-01-17 16:36:15,3.48 W,338 mW,0 W,0 W,12.8 W
2025-01-17 16:36:30,3.92 W,452 mW,0 W,25.1 mW,11.6 W
2025-01-17 16:36:45,4.19 W,449 mW,0 W,24.9 mW,11.4 W
2025-01-17 16:37:00,4.16 W,471 mW,0 W,49.5 mW,11.3 W
2025-01-17 16:37:15,3.75 W,370 mW,0 W,24.7 mW,11.4 W
2025-01-17 16:37:30,3.64 W,573 mW,0 W,24.9 mW,11.5 W
2025-01-17 16:37:45,3.37 W,488 mW,0 W,48.8 mW,11.2 W
2025-01-17 16:38:00,3.23 W,434 mW,0 W,24.1 mW,11.1 W
2025-01-17 16:38:15,3.44 W,231 mW,0 W,25.7 mW,12.3 W
2025-01-17 16:38:30,3.79 W,105 mW,0 W,26.3 mW,13.3 W
2025-01-17 16:38:45,3.79 W,78.4 mW,0 W,26.1 mW,13.2 W
2025-01-17 16:39:00,3.51 W,185 mW,0 W,26.4 mW,13.3 W
2025-01-17 16:39:15,3.18 W,105 mW,0 W,26.3 mW,13.2 W
2025-01-17 16:39:30,3.77 W,106 mW,0 W,26.6 mW,13.3 W
2025-01-17 16:39:45,3.59 W,105 mW,0 W,52.5 mW,13.1 W
2025-01-17 16:40:00,3.49 W,106 mW,0 W,0 W,13.4 W
2025-01-17 16:40:15,3.49 W,470 mW,0 W,0 W,11.4 W
2025-01-17 16:40:30,3.61 W,415 mW,0 W,48.8 mW,11.2 W
2025-01-17 16:40:45,3.48 W,588 mW,0 W,0 W,11.3 W
2025-01-17 16:41:00,3.83 W,540 mW,0 W,24.5 mW,11.3 W
2025-01-17 16:41:15,3.70 W,367 mW,0 W,24.5 mW,11.3 W
2025-01-17 16:41:30,4.38 W,675 mW,0 W,25.0 mW,11.6 W
2025-01-17 16:41:45,3.41 W,495 mW,0 W,24.7 mW,11.4 W
2025-01-17 16:42:00,3.27 W,279 mW,0 W,50.7 mW,12.1 W
2025-01-17 16:42:15,3.58 W,53.5 mW,0 W,53.5 mW,13.5 W
2025-01-17 16:42:30,3.87 W,131 mW,0 W,26.3 mW,13.3 W
2025-01-17 16:42:45,3.65 W,130 mW,0 W,52.2 mW,13.1 W
2025-01-17 16:43:00,3.76 W,78.4 mW,0 W,26.1 mW,13.2 W
2025-01-17 16:43:15,3.91 W,79.9 mW,0 W,26.6 mW,13.4 W
2025-01-17 16:43:30,4.30 W,106 mW,0 W,26.5 mW,13.4 W
2025-01-17 16:43:45,3.89 W,347 mW,0 W,24.8 mW,11.6 W
2025-01-17 16:44:00,3.72 W,443 mW,0 W,49.2 mW,11.3 W
