"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 17:43:45,0 W,1.64 W,62.4 mW,13.9 mW,48.5 mW
2025-01-17 17:44:00,0 W,1.43 W,189 mW,6.52 mW,39.1 mW
2025-01-17 17:44:15,0 W,2.10 W,219 mW,24.4 mW,11.1 W
2025-01-17 17:44:30,0 W,3.09 W,609 mW,268 mW,11.2 W
2025-01-17 17:44:45,0 W,5.21 W,670 mW,24.8 mW,11.5 W
2025-01-17 17:45:00,0 W,5.43 W,283 mW,51.5 mW,12.5 W
2025-01-17 17:45:15,0 W,4.99 W,132 mW,52.8 mW,13.3 W
2025-01-17 17:45:30,0 W,5.33 W,80.3 mW,26.8 mW,13.5 W
2025-01-17 17:45:45,0 W,5.40 W,109 mW,54.3 mW,13.7 W
2025-01-17 17:46:00,0 W,4.64 W,135 mW,27.0 mW,13.5 W
2025-01-17 17:46:15,0 W,4.89 W,81.0 mW,0 W,13.6 W
2025-01-17 17:46:30,0 W,4.94 W,105 mW,105 mW,12.9 W
2025-01-17 17:46:45,0 W,4.56 W,80.5 mW,0 W,13.5 W
2025-01-17 17:47:00,0 W,4.84 W,155 mW,25.9 mW,12.4 W
