Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
x_fanout_100_100,x_fanout_100_100_exchange_0,5110,0,10,11.259581996086112,0.259,66.913,0.0,2.8390397977438333,0.0,10,13,15,16,20,24,28,32,60,67,67
x_fanout_100_100,x_fanout_100_100_exchange_1,5192,0,10,11.152725731895233,0.22,62.604000000000006,0.0,2.884597774928764,0.0,10,13,15,16,20,23,28,31,53,63,63
x_fanout_100_100,x_fanout_100_100_exchange_10,4970,0,10,11.126049698189133,0.158,67.338,0.0,2.761257885476879,0.0,10,13,15,16,20,23,27,32,57,67,67
x_fanout_100_100,x_fanout_100_100_exchange_11,5084,0,10,11.221601888276949,0.23,66.743,0.0,2.8245945854656846,0.0,10,13,15,16,20,24,28,32,55,67,67
x_fanout_100_100,x_fanout_100_100_exchange_12,5098,0,10,11.389414868575917,0.19799999999999998,135.193,0.0,2.83237277669238,0.0,10,13,15,17,20,23,28,31,52,140,140
x_fanout_100_100,x_fanout_100_100_exchange_13,4942,0,10,11.232073249696471,0.27099999999999996,83.22,0.0,2.745701503023488,0.0,10,13,15,17,20,23,27,30,50,83,83
x_fanout_100_100,x_fanout_100_100_exchange_14,4991,0,10,11.277975956722099,0.21000000000000002,134.506,0.0,2.7729251723169224,0.0,10,13,15,16,20,24,28,32,62,130,130
x_fanout_100_100,x_fanout_100_100_exchange_15,5017,0,10,11.331239585409612,0.24600000000000002,135.03799999999998,0.0,2.787370384595071,0.0,10,13,15,16,20,23,27,31,55,140,140
x_fanout_100_100,x_fanout_100_100_exchange_16,5145,0,10,11.267628182701644,0.247,65.631,0.0,2.858485275810572,0.0,10,13,15,16,20,23,27,31,60,66,66
x_fanout_100_100,x_fanout_100_100_exchange_17,5065,0,10,11.149168410661416,0.26699999999999996,64.704,0.0,2.814038468800884,0.0,10,13,15,16,20,23,27,31,59,65,65
x_fanout_100_100,x_fanout_100_100_exchange_18,5131,0,10,11.293345351783271,0.268,135.045,0.0,2.8507070845838767,0.0,10,13,15,16,20,24,27,30,62,140,140
x_fanout_100_100,x_fanout_100_100_exchange_19,4985,0,10,11.142750651955868,0.152,84.772,0.0,2.7695916617911958,0.0,10,13,15,16,20,23,27,32,63,85,85
