"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-19 13:50:30,353 mW,101 mW,0 W,44.2 mW
2024-12-19 13:50:45,389 mW,121 mW,0 W,51.0 mW
2024-12-19 13:51:00,2.06 W,99.4 mW,0 W,12.5 W
2024-12-19 13:51:15,2.25 W,125 mW,0 W,12.6 W
2024-12-19 13:51:30,2.48 W,126 mW,0 W,12.7 W
2024-12-19 13:51:45,2.49 W,49.4 mW,0 W,12.4 W
2024-12-19 13:52:00,2.44 W,126 mW,0 W,12.7 W
2024-12-19 13:52:15,2.85 W,102 mW,0 W,12.9 W
2024-12-19 13:52:30,3.12 W,96.8 mW,0 W,11.2 W
2024-12-19 13:52:45,3.82 W,382 mW,0 W,11.0 W
2024-12-19 13:53:00,3.49 W,658 mW,0 W,11.5 W
2024-12-19 13:53:15,4.76 W,461 mW,0 W,11.4 W
2024-12-19 13:53:30,4.47 W,342 mW,0 W,11.4 W
2024-12-19 13:53:45,5.00 W,508 mW,0 W,11.3 W
2024-12-19 13:54:00,4.46 W,509 mW,0 W,11.4 W
2024-12-19 13:54:15,4.92 W,442 mW,0 W,11.7 W
2024-12-19 13:54:30,5.02 W,699 mW,0 W,11.6 W
2024-12-19 13:54:45,5.32 W,129 mW,0 W,12.9 W
2024-12-19 13:55:00,3.99 W,104 mW,0 W,13.1 W
2024-12-19 13:55:15,4.03 W,156 mW,0 W,13.1 W
2024-12-19 13:55:30,3.85 W,129 mW,0 W,13.0 W
2024-12-19 13:55:45,4.21 W,77.0 mW,0 W,12.9 W
2024-12-19 13:56:00,4.75 W,128 mW,0 W,12.9 W
2024-12-19 13:56:15,4.55 W,103 mW,0 W,13.0 W
2024-12-19 13:56:30,4.64 W,128 mW,0 W,12.8 W
2024-12-19 13:56:45,4.49 W,344 mW,0 W,11.8 W
2024-12-19 13:57:00,4.54 W,577 mW,0 W,11.1 W
2024-12-19 13:57:15,4.02 W,461 mW,0 W,11.3 W
