"Time","core","dram"
2025-01-17 11:55:00,10.2 W,4.53 W
2025-01-17 11:55:30,10.4 W,4.52 W
2025-01-17 11:56:00,11.3 W,4.63 W
2025-01-17 11:56:30,11.8 W,4.70 W
2025-01-17 11:57:00,11.7 W,4.69 W
2025-01-17 11:57:30,12.7 W,4.70 W
2025-01-17 11:58:00,12.7 W,4.69 W
2025-01-17 11:58:30,13.0 W,4.69 W
2025-01-17 11:59:00,12.8 W,4.69 W
2025-01-17 11:59:30,12.8 W,4.69 W
2025-01-17 12:00:00,12.0 W,4.65 W
2025-01-17 12:00:30,12.3 W,4.66 W
2025-01-17 12:01:00,12.0 W,4.65 W
2025-01-17 12:01:30,12.0 W,4.65 W
2025-01-17 12:02:00,12.2 W,4.66 W
2025-01-17 12:02:30,12.1 W,4.67 W
2025-01-17 12:03:00,12.8 W,4.70 W
2025-01-17 12:03:30,12.9 W,4.70 W
2025-01-17 12:04:00,12.9 W,4.75 W
2025-01-17 12:04:30,12.6 W,4.71 W
2025-01-17 12:05:00,12.9 W,4.74 W
2025-01-17 12:05:30,11.9 W,4.71 W
2025-01-17 12:06:00,12.1 W,4.67 W
2025-01-17 12:06:30,12.0 W,4.70 W
2025-01-17 12:07:00,12.0 W,4.69 W
2025-01-17 12:07:30,12.2 W,4.70 W
2025-01-17 12:08:00,12.2 W,4.67 W
2025-01-17 12:08:30,12.9 W,4.73 W
2025-01-17 12:09:00,12.7 W,4.70 W
2025-01-17 12:09:30,12.7 W,4.74 W
2025-01-17 12:10:00,12.8 W,4.71 W
2025-01-17 12:10:30,13.0 W,4.72 W
2025-01-17 12:11:00,12.1 W,4.69 W
2025-01-17 12:11:30,12.2 W,4.68 W
2025-01-17 12:12:00,12.3 W,4.66 W
2025-01-17 12:12:30,12.0 W,4.69 W
2025-01-17 12:13:00,12.3 W,4.64 W
2025-01-17 12:13:30,13.0 W,4.69 W
2025-01-17 12:14:00,12.8 W,4.69 W
2025-01-17 12:14:30,12.9 W,4.71 W
2025-01-17 12:15:00,12.8 W,4.73 W
2025-01-17 12:15:30,12.6 W,4.74 W
2025-01-17 12:16:00,12.5 W,4.70 W
2025-01-17 12:16:30,12.3 W,4.67 W
2025-01-17 12:17:00,12.2 W,4.66 W
2025-01-17 12:17:30,12.2 W,4.67 W
2025-01-17 12:18:00,12.1 W,4.66 W
2025-01-17 12:18:30,12.1 W,4.67 W
2025-01-17 12:19:00,12.7 W,4.70 W
2025-01-17 12:19:30,12.5 W,4.69 W
2025-01-17 12:20:00,12.9 W,4.71 W
2025-01-17 12:20:30,12.7 W,4.71 W
2025-01-17 12:21:00,12.7 W,4.71 W
2025-01-17 12:21:30,12.9 W,4.69 W
2025-01-17 12:22:00,12.3 W,4.66 W
2025-01-17 12:22:30,12.0 W,4.65 W
2025-01-17 12:23:00,12.1 W,4.67 W
2025-01-17 12:23:30,12.3 W,4.66 W
2025-01-17 12:24:00,12.3 W,4.66 W
2025-01-17 12:24:30,12.4 W,4.67 W
2025-01-17 12:25:00,12.7 W,4.68 W
