"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/bin/bash","/usr/share/grafana/bin/grafana","/usr/bin/mongod"
2025-01-17 15:18:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:19:00,0 B,0 B,0 B,0 B,142 MB
2025-01-17 15:19:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:19:30,16.4 kB,0 B,0 B,0 B,0 B
2025-01-17 15:19:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:20:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:20:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:20:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:20:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:21:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:21:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:21:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:21:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:22:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:22:15,12.3 kB,0 B,0 B,0 B,16.4 kB
2025-01-17 15:22:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:22:45,20.5 kB,0 B,0 B,0 B,0 B
2025-01-17 15:23:00,8.19 kB,0 B,0 B,0 B,0 B
2025-01-17 15:23:15,4.10 kB,0 B,0 B,0 B,0 B
2025-01-17 15:23:30,8.19 kB,0 B,0 B,0 B,0 B
2025-01-17 15:23:45,8.19 kB,0 B,0 B,0 B,0 B
2025-01-17 15:24:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:24:15,4.10 kB,0 B,0 B,0 B,0 B
2025-01-17 15:24:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:24:45,4.10 kB,0 B,0 B,0 B,0 B
2025-01-17 15:25:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:25:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:25:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:25:45,4.10 kB,0 B,0 B,0 B,0 B
2025-01-17 15:26:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:26:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:26:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:26:45,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:27:00,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:27:15,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:27:30,0 B,0 B,0 B,0 B,0 B
2025-01-17 15:27:45,0 B,0 B,0 B,0 B,0 B
