"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 15:18:45,1.36 W,83.5 mW,0 W,64.2 mW,51.4 mW
2025-01-17 15:19:00,1.53 W,78.8 mW,0 W,15.8 mW,5.96 W
2025-01-17 15:19:15,102 W,138 mW,0 W,46.0 mW,22.5 W
2025-01-17 15:19:30,81.8 W,205 mW,0 W,461 mW,25.6 W
2025-01-17 15:19:45,70.3 W,164 mW,0 W,54.6 mW,27.9 W
2025-01-17 15:20:00,58.7 W,302 mW,0 W,302 mW,26.0 W
2025-01-17 15:20:15,351 W,326 mW,0 W,0 W,61.1 W
2025-01-17 15:20:30,551 W,585 mW,0 W,97.5 mW,43.9 W
2025-01-17 15:20:45,72.8 W,171 mW,0 W,114 mW,28.4 W
2025-01-17 15:21:00,78.0 W,335 mW,0 W,0 W,27.7 W
2025-01-17 15:21:15,58.1 W,212 mW,0 W,53.0 mW,26.5 W
2025-01-17 15:21:30,128 W,319 mW,0 W,63.8 mW,31.9 W
2025-01-17 15:21:45,102 W,121 mW,0 W,364 mW,34.4 W
2025-01-17 15:22:00,59.9 W,319 mW,0 W,53.2 mW,26.9 W
2025-01-17 15:22:15,82.8 W,331 mW,0 W,55.2 mW,27.9 W
2025-01-17 15:22:30,140 W,266 mW,0 W,0 W,35.7 W
2025-01-17 15:22:45,70.9 W,325 mW,0 W,163 mW,27.5 W
2025-01-17 15:23:00,103 W,181 mW,0 W,60.2 mW,32.9 W
2025-01-17 15:23:15,61.4 W,212 mW,0 W,0 W,26.3 W
2025-01-17 15:23:30,109 W,495 mW,0 W,0 W,31.8 W
2025-01-17 15:23:45,65.0 W,270 mW,0 W,0 W,27.0 W
2025-01-17 15:24:00,71.9 W,220 mW,0 W,55.0 mW,27.9 W
2025-01-17 15:24:15,59.3 W,262 mW,0 W,0 W,25.9 W
2025-01-17 15:24:30,101 W,174 mW,0 W,58.1 mW,28.8 W
2025-01-17 15:24:45,82.2 W,227 mW,0 W,114 mW,29.7 W
2025-01-17 15:25:00,55.9 W,265 mW,0 W,53.1 mW,26.0 W
2025-01-17 15:25:15,64.1 W,213 mW,0 W,53.3 mW,27.1 W
2025-01-17 15:25:30,61.4 W,316 mW,0 W,0 W,26.0 W
2025-01-17 15:25:45,59.6 W,260 mW,0 W,52.1 mW,25.6 W
2025-01-17 15:26:00,57.6 W,259 mW,0 W,51.7 mW,25.2 W
2025-01-17 15:26:15,55.4 W,156 mW,0 W,52.0 mW,24.8 W
2025-01-17 15:26:30,56.5 W,206 mW,0 W,0 W,25.0 W
2025-01-17 15:26:45,58.0 W,261 mW,0 W,104 mW,27.7 W
2025-01-17 15:27:00,57.0 W,208 mW,0 W,104 mW,25.5 W
2025-01-17 15:27:15,73.3 W,164 mW,0 W,0 W,26.7 W
2025-01-17 15:27:30,59.4 W,261 mW,0 W,52.2 mW,25.5 W
2025-01-17 15:27:45,127 W,168 mW,0 W,0 W,31.1 W
2025-01-17 15:28:00,57.4 W,308 mW,0 W,0 W,27.1 W
2025-01-17 15:28:15,72.5 W,271 mW,0 W,0 W,26.7 W
2025-01-17 15:28:30,119 W,175 mW,0 W,58.5 mW,30.2 W
2025-01-17 15:28:45,56.3 W,265 mW,0 W,106 mW,26.5 W
2025-01-17 15:29:00,67.4 W,161 mW,0 W,0 W,26.6 W
2025-01-17 15:29:15,114 W,305 mW,0 W,61.0 mW,30.3 W
2025-01-17 15:29:30,54.6 W,208 mW,0 W,104 mW,26.1 W
2025-01-17 15:29:45,65.1 W,264 mW,0 W,52.8 mW,26.2 W
2025-01-17 15:30:00,65.9 W,215 mW,0 W,0 W,26.8 W
2025-01-17 15:30:15,55.8 W,265 mW,0 W,0 W,26.5 W
2025-01-17 15:30:30,58.7 W,261 mW,0 W,52.3 mW,26.1 W
2025-01-17 15:30:45,73.5 W,164 mW,0 W,164 mW,27.1 W
2025-01-17 15:31:00,58.2 W,261 mW,0 W,0 W,26.2 W
2025-01-17 15:31:15,61.3 W,210 mW,0 W,52.4 mW,25.5 W
2025-01-17 15:31:30,124 W,273 mW,0 W,0 W,29.0 W
2025-01-17 15:31:45,57.9 W,351 mW,0 W,100 mW,25.5 W
2025-01-17 15:32:00,62.9 W,207 mW,0 W,0 W,25.8 W
2025-01-17 15:32:15,57.3 W,207 mW,0 W,51.7 mW,25.9 W
2025-01-17 15:32:30,107 W,160 mW,0 W,0 W,26.6 W
2025-01-17 15:32:45,65.5 W,161 mW,0 W,215 mW,26.5 W
2025-01-17 15:33:00,95.5 W,229 mW,0 W,0 W,28.4 W
2025-01-17 15:33:15,73.6 W,272 mW,0 W,0 W,26.8 W
2025-01-17 15:33:30,65.6 W,267 mW,0 W,107 mW,26.8 W
2025-01-17 15:33:45,125 W,300 mW,0 W,60.1 mW,28.7 W
2025-01-17 15:34:00,57.0 W,210 mW,0 W,0 W,26.4 W
2025-01-17 15:34:15,345 W,408 mW,0 W,0 W,37.1 W
2025-01-17 15:34:30,578 W,412 mW,0 W,103 mW,45.9 W
2025-01-17 15:34:45,524 W,280 mW,0 W,373 mW,51.7 W
2025-01-17 15:35:00,505 W,447 mW,0 W,2.32 W,39.8 W
2025-01-17 15:35:15,496 W,518 mW,0 W,86.4 mW,56.2 W
2025-01-17 15:35:30,506 W,422 mW,0 W,0 W,37.6 W
2025-01-17 15:35:45,526 W,521 mW,0 W,86.9 mW,59.5 W
2025-01-17 15:36:00,553 W,346 mW,0 W,86.6 mW,38.5 W
2025-01-17 15:36:15,64.4 W,288 mW,0 W,0 W,28.4 W
2025-01-17 15:36:30,67.7 W,233 mW,0 W,58.2 mW,29.0 W
2025-01-17 15:36:45,64.3 W,284 mW,0 W,56.8 mW,27.6 W
2025-01-17 15:37:00,61.9 W,222 mW,0 W,0 W,26.9 W
2025-01-17 15:37:15,60.2 W,273 mW,0 W,109 mW,26.2 W
2025-01-17 15:37:30,60.6 W,165 mW,0 W,0 W,26.4 W
2025-01-17 15:37:45,58.4 W,269 mW,0 W,53.7 mW,25.9 W
2025-01-17 15:38:00,59.8 W,270 mW,0 W,0 W,25.9 W
2025-01-17 15:38:15,60.3 W,218 mW,0 W,54.4 mW,26.5 W
2025-01-17 15:38:30,56.5 W,265 mW,0 W,0 W,25.5 W
2025-01-17 15:38:45,59.6 W,161 mW,0 W,0 W,25.9 W
2025-01-17 15:39:00,58.6 W,263 mW,0 W,52.5 mW,27.6 W
2025-01-17 15:39:15,57.6 W,261 mW,0 W,0 W,26.8 W
2025-01-17 15:39:30,61.1 W,267 mW,0 W,53.5 mW,26.7 W
2025-01-17 15:39:45,57.5 W,266 mW,0 W,53.3 mW,25.8 W
2025-01-17 15:40:00,60.6 W,158 mW,0 W,0 W,26.2 W
2025-01-17 15:40:15,62.5 W,320 mW,0 W,53.3 mW,26.6 W
2025-01-17 15:40:30,64.2 W,216 mW,0 W,53.9 mW,27.0 W
2025-01-17 15:40:45,68.9 W,269 mW,0 W,0 W,26.8 W
2025-01-17 15:41:00,64.0 W,161 mW,0 W,0 W,26.8 W
2025-01-17 15:41:15,71.9 W,110 mW,0 W,55.1 mW,27.3 W
2025-01-17 15:41:30,63.0 W,211 mW,0 W,52.7 mW,26.5 W
2025-01-17 15:41:45,130 W,256 mW,0 W,0 W,35.8 W
2025-01-17 15:42:00,56.8 W,158 mW,0 W,52.8 mW,25.6 W
