"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/share/grafana/bin/grafana","/usr/bin/mongod"
2025-01-17 13:58:45,0 B,0 B,0 B,0 B,20.5 kB
2025-01-17 13:59:00,0 B,0 B,0 B,0 B,135 kB
2025-01-17 13:59:15,0 B,0 B,0 B,0 B,24.6 kB
2025-01-17 13:59:30,0 B,17.0 MB,0 B,0 B,24.6 kB
2025-01-17 13:59:45,0 B,13.1 MB,0 B,0 B,28.7 kB
2025-01-17 14:00:00,0 B,123 MB,0 B,0 B,111 kB
2025-01-17 14:00:15,0 B,93.2 MB,0 B,0 B,28.7 kB
2025-01-17 14:00:30,0 B,71.5 MB,0 B,0 B,32.8 kB
2025-01-17 14:00:45,0 B,64.3 MB,0 B,0 B,32.8 kB
2025-01-17 14:01:00,0 B,88.6 MB,0 B,0 B,90.1 kB
2025-01-17 14:01:15,0 B,97.7 MB,0 B,0 B,36.9 kB
2025-01-17 14:01:30,0 B,90.1 MB,0 B,0 B,36.9 kB
2025-01-17 14:01:45,0 B,42.1 MB,0 B,36.9 kB,36.9 kB
2025-01-17 14:02:00,0 B,103 MB,0 B,0 B,36.9 kB
2025-01-17 14:02:15,0 B,53.3 MB,0 B,0 B,41.0 kB
2025-01-17 14:02:30,0 B,90.3 MB,0 B,0 B,41.0 kB
2025-01-17 14:02:45,0 B,106 MB,0 B,0 B,45.1 kB
2025-01-17 14:03:00,0 B,228 MB,0 B,0 B,49.2 kB
2025-01-17 14:03:15,0 B,364 MB,0 B,0 B,20.5 kB
2025-01-17 14:03:30,0 B,350 MB,0 B,0 B,20.5 kB
2025-01-17 14:03:45,0 B,99.2 MB,0 B,0 B,24.6 kB
2025-01-17 14:04:00,0 B,40.6 MB,0 B,0 B,24.6 kB
2025-01-17 14:04:15,0 B,71.3 MB,0 B,0 B,28.7 kB
2025-01-17 14:04:30,0 B,52.4 MB,0 B,0 B,28.7 kB
2025-01-17 14:04:45,0 B,49.8 MB,0 B,0 B,28.7 kB
2025-01-17 14:05:00,0 B,91.1 MB,0 B,0 B,28.7 kB
2025-01-17 14:05:15,0 B,66.3 MB,0 B,0 B,32.8 kB
2025-01-17 14:05:30,0 B,75.1 MB,0 B,0 B,32.8 kB
2025-01-17 14:05:45,0 B,90.5 MB,0 B,0 B,32.8 kB
2025-01-17 14:06:00,0 B,65.2 MB,0 B,0 B,36.9 kB
2025-01-17 14:06:15,0 B,118 MB,0 B,0 B,36.9 kB
2025-01-17 14:06:30,0 B,26.2 MB,0 B,0 B,36.9 kB
2025-01-17 14:06:45,0 B,0 B,0 B,0 B,41.0 kB
2025-01-17 14:07:00,0 B,0 B,0 B,0 B,41.0 kB
2025-01-17 14:07:15,0 B,26.4 MB,0 B,0 B,41.0 kB
2025-01-17 14:07:30,0 B,30.7 MB,0 B,0 B,41.0 kB
2025-01-17 14:07:45,0 B,60.1 MB,0 B,0 B,45.1 kB
2025-01-17 14:08:00,0 B,166 MB,0 B,0 B,49.2 kB
2025-01-17 14:08:15,0 B,203 MB,0 B,0 B,24.6 kB
2025-01-17 14:08:30,0 B,155 MB,0 B,0 B,20.5 kB
2025-01-17 14:08:45,0 B,224 MB,0 B,0 B,24.6 kB
2025-01-17 14:09:00,0 B,224 MB,0 B,0 B,24.6 kB
2025-01-17 14:09:15,0 B,90.3 MB,0 B,0 B,102 kB
2025-01-17 14:09:30,0 B,58.5 MB,0 B,0 B,28.7 kB
2025-01-17 14:09:45,0 B,119 MB,0 B,0 B,28.7 kB
2025-01-17 14:10:00,0 B,57.2 MB,0 B,0 B,28.7 kB
2025-01-17 14:10:15,0 B,89.0 MB,0 B,0 B,98.3 kB
2025-01-17 14:10:30,0 B,33.0 MB,0 B,0 B,32.8 kB
2025-01-17 14:10:45,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 14:11:00,0 B,0 B,0 B,0 B,36.9 kB
2025-01-17 14:11:15,0 B,356 MB,0 B,36.9 kB,98.3 kB
2025-01-17 14:11:30,0 B,232 MB,0 B,0 B,36.9 kB
2025-01-17 14:11:45,0 B,82.4 MB,0 B,0 B,41.0 kB
2025-01-17 14:12:00,0 B,84.1 MB,0 B,0 B,41.0 kB
2025-01-17 14:12:15,0 B,162 MB,0 B,0 B,106 kB
2025-01-17 14:12:30,0 B,133 MB,0 B,0 B,41.0 kB
2025-01-17 14:12:45,0 B,219 MB,0 B,0 B,45.1 kB
2025-01-17 14:13:00,0 B,246 MB,0 B,0 B,53.2 kB
2025-01-17 14:13:15,0 B,76.6 MB,0 B,0 B,127 kB
2025-01-17 14:13:30,0 B,42.9 MB,0 B,0 B,20.5 kB
2025-01-17 14:13:45,0 B,106 MB,0 B,98.3 kB,24.6 kB
2025-01-17 14:14:00,0 B,160 MB,0 B,0 B,24.6 kB
2025-01-17 14:14:15,0 B,103 MB,0 B,0 B,115 kB
2025-01-17 14:14:30,0 B,59.7 MB,0 B,0 B,28.7 kB
2025-01-17 14:14:45,0 B,28.1 MB,0 B,0 B,28.7 kB
