"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/bin/bash"
2024-12-17 19:42:30,0 B,0 B,0 B
2024-12-17 19:42:45,0 B,0 B,0 B
2024-12-17 19:43:00,0 B,0 B,0 B
2024-12-17 19:43:15,8.19 kB,0 B,0 B
2024-12-17 19:43:30,0 B,0 B,0 B
2024-12-17 19:43:45,0 B,0 B,0 B
2024-12-17 19:44:00,28.7 kB,0 B,0 B
2024-12-17 19:44:15,0 B,0 B,0 B
2024-12-17 19:44:30,0 B,0 B,0 B
2024-12-17 19:44:45,0 B,0 B,0 B
2024-12-17 19:45:00,0 B,0 B,0 B
2024-12-17 19:45:15,0 B,0 B,0 B
2024-12-17 19:45:30,0 B,0 B,0 B
2024-12-17 19:45:45,0 B,0 B,0 B
2024-12-17 19:46:00,4.10 kB,0 B,0 B
2024-12-17 19:46:15,0 B,0 B,0 B
2024-12-17 19:46:30,4.10 kB,0 B,0 B
2024-12-17 19:46:45,4.10 kB,0 B,0 B
2024-12-17 19:47:00,0 B,0 B,0 B
2024-12-17 19:47:15,4.10 kB,0 B,0 B
2024-12-17 19:47:30,4.10 kB,0 B,0 B
2024-12-17 19:47:45,0 B,0 B,0 B
2024-12-17 19:48:00,4.10 kB,0 B,0 B
2024-12-17 19:48:15,16.4 kB,0 B,0 B
2024-12-17 19:48:30,0 B,0 B,0 B
2024-12-17 19:48:45,8.19 kB,0 B,0 B
2024-12-17 19:49:00,0 B,0 B,0 B
2024-12-17 19:49:15,0 B,0 B,0 B
2024-12-17 19:49:30,0 B,0 B,0 B
2024-12-17 19:49:45,0 B,0 B,0 B
2024-12-17 19:50:00,0 B,0 B,0 B
2024-12-17 19:50:15,0 B,0 B,0 B
2024-12-17 19:50:30,0 B,0 B,0 B
2024-12-17 19:50:45,0 B,0 B,0 B
2024-12-17 19:51:00,0 B,0 B,0 B
2024-12-17 19:51:15,0 B,0 B,0 B
2024-12-17 19:51:30,4.10 kB,0 B,0 B
2024-12-17 19:51:45,0 B,0 B,0 B
2024-12-17 19:52:00,4.10 kB,0 B,0 B
2024-12-17 19:52:15,0 B,0 B,0 B
2024-12-17 19:52:30,0 B,0 B,0 B
2024-12-17 19:52:45,0 B,0 B,0 B
2024-12-17 19:53:00,8.19 kB,0 B,0 B
2024-12-17 19:53:15,20.5 kB,0 B,0 B
2024-12-17 19:53:30,53.2 kB,0 B,0 B
2024-12-17 19:53:45,24.6 kB,0 B,0 B
2024-12-17 19:54:00,8.19 kB,0 B,0 B
2024-12-17 19:54:15,24.6 kB,0 B,0 B
2024-12-17 19:54:30,8.19 kB,0 B,0 B
2024-12-17 19:54:45,12.3 kB,0 B,0 B
2024-12-17 19:55:00,8.19 kB,0 B,0 B
2024-12-17 19:55:15,0 B,0 B,0 B
2024-12-17 19:55:30,20.5 kB,0 B,0 B
2024-12-17 19:55:45,12.3 kB,0 B,0 B
2024-12-17 19:56:00,12.3 kB,0 B,0 B
2024-12-17 19:56:15,0 B,0 B,0 B
2024-12-17 19:56:30,4.10 kB,0 B,0 B
2024-12-17 19:56:45,8.19 kB,0 B,0 B
2024-12-17 19:57:00,4.10 kB,0 B,0 B
2024-12-17 19:57:15,4.10 kB,0 B,0 B
2024-12-17 19:57:30,0 B,0 B,0 B
2024-12-17 19:57:45,8.19 kB,0 B,0 B
2024-12-17 19:58:00,0 B,0 B,0 B
2024-12-17 19:58:15,0 B,0 B,0 B
2024-12-17 19:58:30,0 B,0 B,0 B
2024-12-17 19:58:45,4.10 kB,0 B,0 B
2024-12-17 19:59:00,20.5 kB,0 B,0 B
2024-12-17 19:59:15,20.5 kB,0 B,0 B
2024-12-17 19:59:30,0 B,0 B,0 B
2024-12-17 19:59:45,12.3 kB,0 B,0 B
2024-12-17 20:00:00,81.9 kB,0 B,0 B
2024-12-17 20:00:15,20.5 kB,0 B,0 B
2024-12-17 20:00:30,16.4 kB,0 B,0 B
2024-12-17 20:00:45,4.10 kB,0 B,0 B
2024-12-17 20:01:00,0 B,0 B,0 B
2024-12-17 20:01:15,4.10 kB,0 B,0 B
2024-12-17 20:01:30,57.3 kB,0 B,0 B
2024-12-17 20:01:45,16.4 kB,0 B,0 B
2024-12-17 20:02:00,0 B,0 B,0 B
2024-12-17 20:02:15,0 B,0 B,0 B
2024-12-17 20:02:30,0 B,0 B,0 B
2024-12-17 20:02:45,0 B,0 B,0 B
2024-12-17 20:03:00,0 B,0 B,0 B
2024-12-17 20:03:15,0 B,0 B,0 B
2024-12-17 20:03:30,0 B,0 B,0 B
2024-12-17 20:03:45,0 B,0 B,0 B
2024-12-17 20:04:00,0 B,0 B,0 B
2024-12-17 20:04:15,0 B,0 B,0 B
2024-12-17 20:04:30,0 B,0 B,0 B
2024-12-17 20:04:45,0 B,0 B,0 B
2024-12-17 20:05:00,0 B,0 B,0 B
2024-12-17 20:05:15,0 B,0 B,0 B
2024-12-17 20:05:30,0 B,0 B,0 B
2024-12-17 20:05:45,4.10 kB,0 B,0 B
2024-12-17 20:06:00,8.19 kB,0 B,0 B
2024-12-17 20:06:15,4.10 kB,0 B,0 B
2024-12-17 20:06:30,16.4 kB,0 B,0 B
2024-12-17 20:06:45,438 kB,0 B,0 B
2024-12-17 20:07:00,238 kB,0 B,0 B
2024-12-17 20:07:15,94.2 kB,0 B,0 B
2024-12-17 20:07:30,53.2 kB,0 B,0 B
2024-12-17 20:07:45,28.7 kB,0 B,0 B
2024-12-17 20:08:00,32.8 kB,0 B,0 B
2024-12-17 20:08:15,16.4 kB,0 B,0 B
2024-12-17 20:08:30,12.3 kB,0 B,0 B
2024-12-17 20:08:45,8.19 kB,0 B,0 B
2024-12-17 20:09:00,41.0 kB,0 B,0 B
2024-12-17 20:09:15,41.0 kB,0 B,0 B
2024-12-17 20:09:30,45.1 kB,0 B,0 B
2024-12-17 20:09:45,221 kB,0 B,0 B
2024-12-17 20:10:00,4.10 kB,0 B,0 B
2024-12-17 20:10:15,4.10 kB,0 B,0 B
2024-12-17 20:10:30,332 kB,0 B,0 B
2024-12-17 20:10:45,475 kB,0 B,0 B
2024-12-17 20:11:00,487 kB,0 B,0 B
2024-12-17 20:11:15,143 kB,0 B,0 B
2024-12-17 20:11:30,0 B,0 B,0 B
2024-12-17 20:11:45,0 B,0 B,0 B
