"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/bin/bash"
2024-12-17 19:42:30,0 B,0 B,0 B
2024-12-17 19:42:45,0 B,0 B,0 B
2024-12-17 19:43:00,0 B,0 B,0 B
2024-12-17 19:43:15,9.56 MB,0 B,0 B
2024-12-17 19:43:30,6.91 MB,0 B,0 B
2024-12-17 19:43:45,57.8 MB,0 B,0 B
2024-12-17 19:44:00,115 MB,0 B,0 B
2024-12-17 19:44:15,0 B,0 B,0 B
2024-12-17 19:44:30,384 MB,0 B,0 B
2024-12-17 19:44:45,333 MB,0 B,0 B
2024-12-17 19:45:00,98.4 MB,0 B,0 B
2024-12-17 19:45:15,96.8 MB,0 B,0 B
2024-12-17 19:45:30,280 MB,0 B,0 B
2024-12-17 19:45:45,2.29 MB,0 B,0 B
2024-12-17 19:46:00,326 MB,0 B,0 B
2024-12-17 19:46:15,16.5 MB,0 B,0 B
2024-12-17 19:46:30,126 MB,0 B,0 B
2024-12-17 19:46:45,186 MB,0 B,0 B
2024-12-17 19:47:00,64.7 MB,0 B,0 B
2024-12-17 19:47:15,56.1 MB,0 B,0 B
2024-12-17 19:47:30,48.1 MB,0 B,0 B
2024-12-17 19:47:45,138 MB,0 B,0 B
2024-12-17 19:48:00,116 MB,0 B,0 B
2024-12-17 19:48:15,83.5 MB,0 B,0 B
2024-12-17 19:48:30,62.1 MB,0 B,0 B
2024-12-17 19:48:45,47.4 MB,0 B,0 B
2024-12-17 19:49:00,10.3 MB,0 B,0 B
2024-12-17 19:49:15,0 B,0 B,0 B
2024-12-17 19:49:30,0 B,0 B,0 B
2024-12-17 19:49:45,0 B,0 B,0 B
2024-12-17 19:50:00,0 B,0 B,0 B
2024-12-17 19:50:15,0 B,0 B,0 B
2024-12-17 19:50:30,0 B,0 B,0 B
2024-12-17 19:50:45,0 B,0 B,0 B
2024-12-17 19:51:00,12.8 MB,0 B,0 B
2024-12-17 19:51:15,2.62 GB,0 B,0 B
2024-12-17 19:51:30,432 MB,0 B,0 B
2024-12-17 19:51:45,358 MB,0 B,0 B
2024-12-17 19:52:00,230 MB,0 B,0 B
2024-12-17 19:52:15,27.3 MB,0 B,0 B
2024-12-17 19:52:30,2.66 MB,0 B,0 B
2024-12-17 19:52:45,1.77 MB,0 B,0 B
2024-12-17 19:53:00,77.2 MB,0 B,0 B
2024-12-17 19:53:15,146 MB,0 B,0 B
2024-12-17 19:53:30,237 MB,0 B,0 B
2024-12-17 19:53:45,228 MB,0 B,0 B
2024-12-17 19:54:00,110 MB,0 B,0 B
2024-12-17 19:54:15,423 MB,0 B,0 B
2024-12-17 19:54:30,153 MB,0 B,0 B
2024-12-17 19:54:45,480 MB,0 B,0 B
2024-12-17 19:55:00,123 MB,0 B,0 B
2024-12-17 19:55:15,472 MB,0 B,0 B
2024-12-17 19:55:30,143 MB,0 B,0 B
2024-12-17 19:55:45,465 MB,0 B,0 B
2024-12-17 19:56:00,72.8 MB,0 B,0 B
2024-12-17 19:56:15,48.5 MB,0 B,0 B
2024-12-17 19:56:30,55.0 MB,0 B,0 B
2024-12-17 19:56:45,26.6 MB,0 B,0 B
2024-12-17 19:57:00,24.5 MB,0 B,0 B
2024-12-17 19:57:15,108 MB,0 B,0 B
2024-12-17 19:57:30,32.6 MB,0 B,0 B
2024-12-17 19:57:45,166 MB,0 B,0 B
2024-12-17 19:58:00,18.6 MB,0 B,0 B
2024-12-17 19:58:15,60.1 MB,0 B,0 B
2024-12-17 19:58:30,67.8 MB,0 B,0 B
2024-12-17 19:58:45,12.8 MB,0 B,0 B
2024-12-17 19:59:00,94.9 MB,0 B,0 B
2024-12-17 19:59:15,27.1 MB,0 B,0 B
2024-12-17 19:59:30,43.3 MB,0 B,0 B
2024-12-17 19:59:45,40.1 MB,0 B,0 B
2024-12-17 20:00:00,54.7 MB,0 B,0 B
2024-12-17 20:00:15,139 MB,0 B,0 B
2024-12-17 20:00:30,43.1 MB,0 B,0 B
2024-12-17 20:00:45,41.1 MB,0 B,0 B
2024-12-17 20:01:00,44.0 MB,0 B,0 B
2024-12-17 20:01:15,91.1 MB,0 B,0 B
2024-12-17 20:01:30,28.3 MB,0 B,0 B
2024-12-17 20:01:45,113 MB,0 B,0 B
2024-12-17 20:02:00,43.6 MB,0 B,0 B
2024-12-17 20:02:15,58.2 MB,0 B,0 B
2024-12-17 20:02:30,55.1 MB,0 B,0 B
2024-12-17 20:02:45,182 MB,0 B,0 B
2024-12-17 20:03:00,9.37 MB,0 B,0 B
2024-12-17 20:03:15,12.3 kB,0 B,0 B
2024-12-17 20:03:30,0 B,0 B,0 B
2024-12-17 20:03:45,0 B,0 B,0 B
2024-12-17 20:04:00,0 B,0 B,0 B
2024-12-17 20:04:15,0 B,0 B,0 B
2024-12-17 20:04:30,0 B,0 B,0 B
2024-12-17 20:04:45,0 B,0 B,0 B
2024-12-17 20:05:00,2.61 GB,0 B,0 B
2024-12-17 20:05:15,470 MB,0 B,0 B
2024-12-17 20:05:30,276 MB,0 B,0 B
2024-12-17 20:05:45,28.6 MB,0 B,0 B
2024-12-17 20:06:00,8.22 MB,0 B,0 B
2024-12-17 20:06:15,3.66 MB,0 B,0 B
2024-12-17 20:06:30,4.00 MB,0 B,0 B
2024-12-17 20:06:45,49.8 MB,0 B,0 B
2024-12-17 20:07:00,166 MB,0 B,0 B
2024-12-17 20:07:15,223 MB,0 B,0 B
2024-12-17 20:07:30,196 MB,0 B,0 B
2024-12-17 20:07:45,119 MB,0 B,0 B
2024-12-17 20:08:00,283 MB,0 B,0 B
2024-12-17 20:08:15,325 MB,0 B,0 B
2024-12-17 20:08:30,387 MB,0 B,0 B
2024-12-17 20:08:45,350 MB,0 B,0 B
2024-12-17 20:09:00,320 MB,0 B,0 B
2024-12-17 20:09:15,324 MB,0 B,0 B
2024-12-17 20:09:30,233 MB,0 B,0 B
2024-12-17 20:09:45,197 MB,0 B,0 B
2024-12-17 20:10:00,67.7 MB,0 B,0 B
2024-12-17 20:10:15,49.3 MB,0 B,0 B
2024-12-17 20:10:30,55.1 MB,0 B,0 B
2024-12-17 20:10:45,37.6 MB,0 B,0 B
2024-12-17 20:11:00,21.4 MB,0 B,0 B
2024-12-17 20:11:15,4.90 MB,0 B,0 B
