"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server"
2024-12-17 19:42:30,6.27 W,484 mW,0 W
2024-12-17 19:42:45,24.8 W,500 mW,0 W
2024-12-17 19:43:00,96.3 W,573 mW,0 W
2024-12-17 19:43:15,72.5 W,439 mW,0 W
2024-12-17 19:43:30,55.2 W,253 mW,0 W
2024-12-17 19:43:45,75.5 W,266 mW,0 W
2024-12-17 19:44:00,86.6 W,211 mW,0 W
2024-12-17 19:44:15,356 W,359 mW,0 W
2024-12-17 19:44:30,151 W,324 mW,0 W
2024-12-17 19:45:00,62.1 W,265 mW,0 W
2024-12-17 19:45:15,111 W,237 mW,0 W
2024-12-17 19:45:30,158 W,330 mW,0 W
2024-12-17 19:45:45,55.7 W,155 mW,0 W
2024-12-17 19:46:00,149 W,260 mW,0 W
2024-12-17 19:46:15,54.0 W,203 mW,0 W
2024-12-17 19:46:30,70.6 W,258 mW,0 W
2024-12-17 19:46:45,70.4 W,260 mW,0 W
2024-12-17 19:47:00,54.7 W,153 mW,0 W
2024-12-17 19:47:15,60.3 W,258 mW,0 W
2024-12-17 19:47:30,89.5 W,331 mW,0 W
2024-12-17 19:47:45,63.1 W,254 mW,0 W
2024-12-17 19:48:00,65.0 W,207 mW,0 W
2024-12-17 19:48:15,56.2 W,201 mW,0 W
