"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/bin/mongod"
2024-12-17 19:02:30,0 B,0 B,0 B,0 B
2024-12-17 19:02:45,0 B,0 B,0 B,0 B
2024-12-17 19:03:00,0 B,0 B,0 B,0 B
2024-12-17 19:03:15,0 B,0 B,0 B,0 B
2024-12-17 19:03:30,0 B,4.10 kB,0 B,0 B
2024-12-17 19:03:45,0 B,0 B,0 B,0 B
2024-12-17 19:04:00,0 B,8.19 kB,0 B,0 B
2024-12-17 19:04:15,0 B,0 B,0 B,0 B
2024-12-17 19:04:30,0 B,90.1 kB,0 B,0 B
2024-12-17 19:04:45,0 B,0 B,0 B,0 B
2024-12-17 19:05:00,0 B,0 B,0 B,0 B
2024-12-17 19:05:15,0 B,0 B,0 B,0 B
2024-12-17 19:05:30,0 B,0 B,0 B,0 B
2024-12-17 19:05:45,0 B,0 B,0 B,0 B
2024-12-17 19:06:00,0 B,0 B,0 B,0 B
2024-12-17 19:06:15,0 B,0 B,0 B,0 B
2024-12-17 19:06:30,0 B,0 B,0 B,0 B
2024-12-17 19:06:45,0 B,0 B,0 B,0 B
2024-12-17 19:07:00,0 B,0 B,0 B,0 B
2024-12-17 19:07:15,0 B,0 B,0 B,0 B
2024-12-17 19:07:30,0 B,0 B,0 B,0 B
2024-12-17 19:07:45,0 B,0 B,0 B,0 B
2024-12-17 19:08:00,0 B,0 B,0 B,0 B
2024-12-17 19:08:15,0 B,4.10 kB,0 B,0 B
2024-12-17 19:08:30,0 B,20.5 kB,0 B,0 B
2024-12-17 19:08:45,0 B,16.4 kB,0 B,0 B
2024-12-17 19:09:00,0 B,4.10 kB,0 B,0 B
2024-12-17 19:09:15,0 B,0 B,0 B,0 B
2024-12-17 19:09:30,0 B,12.3 kB,0 B,0 B
2024-12-17 19:09:45,0 B,45.1 kB,0 B,0 B
2024-12-17 19:10:00,0 B,4.10 kB,0 B,0 B
2024-12-17 19:10:15,0 B,61.4 kB,0 B,0 B
2024-12-17 19:10:30,0 B,28.7 kB,0 B,0 B
2024-12-17 19:10:45,0 B,41.0 kB,0 B,0 B
2024-12-17 19:11:00,0 B,36.9 kB,0 B,0 B
2024-12-17 19:11:15,0 B,45.1 kB,0 B,0 B
2024-12-17 19:11:30,0 B,20.5 kB,0 B,0 B
2024-12-17 19:11:45,0 B,4.10 kB,0 B,0 B
2024-12-17 19:12:00,0 B,8.19 kB,0 B,0 B
2024-12-17 19:12:15,0 B,24.6 kB,0 B,0 B
2024-12-17 19:12:30,0 B,0 B,0 B,0 B
2024-12-17 19:12:45,0 B,0 B,0 B,0 B
2024-12-17 19:13:00,0 B,0 B,0 B,0 B
2024-12-17 19:13:15,0 B,0 B,0 B,0 B
