"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/bin/mongod"
2024-12-17 19:02:30,0 B,0 B,0 B,90.1 kB
2024-12-17 19:02:45,0 B,0 B,0 B,32.8 kB
2024-12-17 19:03:00,0 B,0 B,0 B,32.8 kB
2024-12-17 19:03:15,0 B,0 B,0 B,32.8 kB
2024-12-17 19:03:30,0 B,4.10 MB,0 B,139 kB
2024-12-17 19:03:45,0 B,37.4 MB,0 B,20.5 kB
2024-12-17 19:04:00,0 B,107 MB,0 B,20.5 kB
2024-12-17 19:04:15,0 B,89.6 MB,0 B,24.6 kB
2024-12-17 19:04:30,0 B,89.2 MB,0 B,111 kB
2024-12-17 19:04:45,0 B,92.1 MB,0 B,24.6 kB
2024-12-17 19:05:00,0 B,39.3 MB,0 B,28.7 kB
2024-12-17 19:05:15,0 B,50.8 MB,0 B,28.7 kB
2024-12-17 19:05:30,0 B,106 MB,0 B,90.1 kB
2024-12-17 19:05:45,0 B,61.1 MB,0 B,32.8 kB
2024-12-17 19:06:00,0 B,53.2 MB,0 B,32.8 kB
2024-12-17 19:06:15,0 B,76.6 MB,0 B,32.8 kB
2024-12-17 19:06:30,0 B,91.8 MB,0 B,106 kB
2024-12-17 19:06:45,0 B,88.9 MB,0 B,36.9 kB
2024-12-17 19:07:00,0 B,134 MB,0 B,36.9 kB
2024-12-17 19:07:15,0 B,91.5 MB,0 B,36.9 kB
2024-12-17 19:07:30,0 B,110 MB,0 B,106 kB
2024-12-17 19:07:45,0 B,89.9 MB,0 B,41.0 kB
2024-12-17 19:08:00,0 B,89.5 MB,0 B,45.1 kB
2024-12-17 19:08:15,0 B,19.6 MB,0 B,45.1 kB
2024-12-17 19:08:30,0 B,209 MB,0 B,90.1 kB
2024-12-17 19:08:45,0 B,418 MB,0 B,90.1 kB
2024-12-17 19:09:00,0 B,317 MB,0 B,20.5 kB
2024-12-17 19:09:15,0 B,206 MB,0 B,24.6 kB
2024-12-17 19:09:30,0 B,51.6 MB,0 B,24.6 kB
2024-12-17 19:09:45,0 B,67.6 MB,0 B,106 kB
2024-12-17 19:10:00,0 B,61.1 MB,0 B,28.7 kB
2024-12-17 19:10:15,0 B,20.0 MB,0 B,28.7 kB
2024-12-17 19:10:30,0 B,47.6 MB,0 B,28.7 kB
2024-12-17 19:10:45,0 B,44.2 MB,0 B,98.3 kB
2024-12-17 19:11:00,0 B,31.3 MB,0 B,32.8 kB
2024-12-17 19:11:15,0 B,58.4 MB,0 B,32.8 kB
2024-12-17 19:11:30,0 B,53.9 MB,0 B,36.9 kB
2024-12-17 19:11:45,0 B,49.9 MB,0 B,106 kB
2024-12-17 19:12:00,0 B,12.1 MB,0 B,36.9 kB
2024-12-17 19:12:15,0 B,18.1 MB,0 B,41.0 kB
2024-12-17 19:12:30,0 B,0 B,0 B,41.0 kB
2024-12-17 19:12:45,0 B,0 B,0 B,98.3 kB
2024-12-17 19:13:00,0 B,772 MB,0 B,41.0 kB
2024-12-17 19:13:15,0 B,308 MB,0 B,45.1 kB
2024-12-17 19:13:30,0 B,1.77 MB,0 B,49.2 kB
2024-12-17 19:13:45,0 B,120 MB,0 B,123 kB
2024-12-17 19:14:00,0 B,125 MB,0 B,20.5 kB
2024-12-17 19:14:15,0 B,120 MB,0 B,24.6 kB
2024-12-17 19:14:30,0 B,201 MB,0 B,24.6 kB
2024-12-17 19:14:45,0 B,225 MB,0 B,111 kB
2024-12-17 19:15:00,0 B,126 MB,0 B,28.7 kB
2024-12-17 19:15:15,0 B,155 MB,0 B,28.7 kB
2024-12-17 19:15:30,0 B,95.6 MB,0 B,28.7 kB
2024-12-17 19:15:45,0 B,80.2 MB,0 B,98.3 kB
2024-12-17 19:16:00,0 B,93.1 MB,0 B,32.8 kB
2024-12-17 19:16:15,0 B,73.4 MB,0 B,32.8 kB
2024-12-17 19:16:30,0 B,128 MB,0 B,36.9 kB
2024-12-17 19:16:45,0 B,101 MB,0 B,36.9 kB
2024-12-17 19:17:00,0 B,39.4 MB,0 B,36.9 kB
2024-12-17 19:17:15,0 B,42.6 MB,0 B,41.0 kB
2024-12-17 19:17:30,0 B,0 B,0 B,41.0 kB
2024-12-17 19:17:45,0 B,0 B,0 B,41.0 kB
2024-12-17 19:18:00,0 B,311 MB,0 B,45.1 kB
2024-12-17 19:18:15,0 B,1.67 GB,0 B,45.1 kB
2024-12-17 19:18:30,0 B,12.4 MB,0 B,53.2 kB
2024-12-17 19:18:45,0 B,17.0 MB,0 B,20.5 kB
2024-12-17 19:19:00,0 B,118 MB,0 B,20.5 kB
