"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-17 19:02:30,0 W,300 mW,485 mW,10.5 W
2024-12-17 19:02:45,0 W,3.51 W,426 mW,10.9 W
2024-12-17 19:03:00,0 W,24.0 W,375 mW,14.1 W
2024-12-17 19:03:15,0 W,37.9 W,951 mW,15.9 W
2024-12-17 19:03:30,0 W,93.9 W,270 mW,25.2 W
2024-12-17 19:03:45,0 W,75.7 W,482 mW,26.1 W
2024-12-17 19:04:00,0 W,115 W,385 mW,28.1 W
2024-12-17 19:04:15,0 W,102 W,159 mW,25.8 W
2024-12-17 19:04:30,0 W,79.5 W,254 mW,25.2 W
2024-12-17 19:04:45,0 W,102 W,166 mW,27.2 W
2024-12-17 19:05:00,0 W,81.6 W,153 mW,25.1 W
2024-12-17 19:05:15,0 W,71.3 W,250 mW,24.8 W
2024-12-17 19:05:30,0 W,103 W,280 mW,27.4 W
2024-12-17 19:05:45,0 W,102 W,283 mW,28.4 W
2024-12-17 19:06:00,0 W,90.0 W,223 mW,29.4 W
2024-12-17 19:06:15,0 W,98.6 W,288 mW,30.6 W
2024-12-17 19:06:30,0 W,119 W,241 mW,33.6 W
2024-12-17 19:06:45,0 W,122 W,244 mW,33.7 W
2024-12-17 19:07:00,0 W,139 W,193 mW,33.9 W
2024-12-17 19:07:15,0 W,115 W,298 mW,33.9 W
2024-12-17 19:07:30,0 W,72.6 W,264 mW,26.4 W
2024-12-17 19:07:45,0 W,122 W,238 mW,29.7 W
2024-12-17 19:08:00,0 W,108 W,228 mW,27.9 W
2024-12-17 19:08:15,0 W,59.0 W,204 mW,25.6 W
2024-12-17 19:08:30,0 W,61.7 W,255 mW,25.4 W
2024-12-17 19:08:45,0 W,60.3 W,196 mW,24.3 W
2024-12-17 19:09:00,0 W,28.4 W,177 mW,17.7 W
