"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 19:47:30,0 W,942 mW,136 mW,13.0 mW,52.0 mW
2025-01-17 19:47:45,0 W,2.40 W,155 mW,103 mW,12.7 W
2025-01-17 19:48:00,0 W,97.3 W,125 mW,0 W,19.7 W
2025-01-17 19:48:15,0 W,78.2 W,155 mW,51.7 mW,24.8 W
2025-01-17 19:48:30,0 W,60.7 W,255 mW,357 mW,25.4 W
2025-01-17 19:48:45,0 W,151 W,228 mW,0 W,27.4 W
2025-01-17 19:49:00,0 W,472 W,454 mW,90.7 mW,57.1 W
2025-01-17 19:49:15,0 W,581 W,613 mW,204 mW,45.7 W
2025-01-17 19:49:30,0 W,576 W,402 mW,0 W,46.0 W
2025-01-17 19:49:45,0 W,514 W,540 mW,360 mW,45.6 W
2025-01-17 19:50:00,0 W,530 W,271 mW,180 mW,40.0 W
2025-01-17 19:50:15,0 W,519 W,516 mW,0 W,52.3 W
2025-01-17 19:50:30,0 W,530 W,256 mW,85.4 mW,37.4 W
2025-01-17 19:50:45,0 W,412 W,404 mW,80.7 mW,53.8 W
2025-01-17 19:51:00,0 W,89.2 W,314 mW,0 W,31.2 W
