"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/bin/bash","/usr/bin/mongod"
2024-12-17 21:06:30,0 B,0 B,0 B,0 B
2024-12-17 21:06:45,0 B,0 B,0 B,5.85 MB
2024-12-17 21:07:00,0 B,0 B,0 B,0 B
2024-12-17 21:07:15,0 B,0 B,0 B,0 B
2024-12-17 21:07:30,0 B,0 B,0 B,0 B
2024-12-17 21:07:45,0 B,0 B,0 B,16.4 kB
2024-12-17 21:08:00,0 B,0 B,0 B,0 B
2024-12-17 21:08:15,0 B,0 B,0 B,0 B
2024-12-17 21:08:30,0 B,0 B,0 B,0 B
2024-12-17 21:08:45,0 B,0 B,0 B,4.10 kB
2024-12-17 21:09:00,0 B,0 B,0 B,0 B
2024-12-17 21:09:15,0 B,0 B,0 B,0 B
2024-12-17 21:09:30,0 B,0 B,0 B,0 B
2024-12-17 21:09:45,0 B,0 B,0 B,0 B
2024-12-17 21:10:00,0 B,0 B,0 B,0 B
2024-12-17 21:10:15,0 B,0 B,0 B,0 B
2024-12-17 21:10:30,0 B,0 B,0 B,0 B
2024-12-17 21:10:45,0 B,0 B,0 B,168 kB
2024-12-17 21:11:00,0 B,0 B,0 B,0 B
2024-12-17 21:11:15,0 B,0 B,0 B,0 B
2024-12-17 21:11:30,0 B,0 B,0 B,0 B
2024-12-17 21:11:45,0 B,0 B,0 B,0 B
2024-12-17 21:12:00,0 B,0 B,0 B,0 B
2024-12-17 21:12:15,0 B,0 B,0 B,0 B
2024-12-17 21:12:30,0 B,0 B,0 B,0 B
2024-12-17 21:12:45,0 B,0 B,0 B,0 B
2024-12-17 21:13:00,0 B,0 B,0 B,0 B
2024-12-17 21:13:15,0 B,0 B,0 B,0 B
2024-12-17 21:13:30,0 B,0 B,0 B,0 B
2024-12-17 21:13:45,0 B,0 B,0 B,0 B
2024-12-17 21:14:00,0 B,0 B,0 B,0 B
2024-12-17 21:14:15,0 B,0 B,0 B,0 B
2024-12-17 21:14:30,0 B,0 B,0 B,0 B
2024-12-17 21:14:45,0 B,0 B,0 B,0 B
2024-12-17 21:15:00,0 B,0 B,0 B,0 B
2024-12-17 21:15:15,0 B,0 B,0 B,0 B
2024-12-17 21:15:30,0 B,0 B,0 B,0 B
2024-12-17 21:15:45,0 B,0 B,0 B,0 B
2024-12-17 21:16:00,0 B,0 B,0 B,0 B
2024-12-17 21:16:15,0 B,0 B,0 B,0 B
2024-12-17 21:16:30,0 B,0 B,0 B,0 B
2024-12-17 21:16:45,0 B,0 B,0 B,0 B
2024-12-17 21:17:00,0 B,0 B,0 B,0 B
2024-12-17 21:17:15,28.7 kB,0 B,0 B,0 B
2024-12-17 21:17:30,0 B,0 B,0 B,0 B
2024-12-17 21:17:45,0 B,0 B,0 B,0 B
2024-12-17 21:18:00,0 B,0 B,0 B,0 B
2024-12-17 21:18:15,0 B,0 B,0 B,0 B
2024-12-17 21:18:30,0 B,0 B,0 B,0 B
2024-12-17 21:18:45,0 B,0 B,0 B,0 B
2024-12-17 21:19:00,0 B,0 B,0 B,0 B
2024-12-17 21:19:15,0 B,0 B,0 B,0 B
2024-12-17 21:19:30,0 B,0 B,0 B,0 B
2024-12-17 21:19:45,0 B,0 B,0 B,0 B
2024-12-17 21:20:00,0 B,0 B,0 B,0 B
2024-12-17 21:20:15,0 B,0 B,0 B,0 B
2024-12-17 21:20:30,0 B,0 B,0 B,0 B
2024-12-17 21:20:45,0 B,0 B,0 B,0 B
2024-12-17 21:21:00,0 B,0 B,0 B,0 B
2024-12-17 21:21:15,0 B,0 B,0 B,0 B
2024-12-17 21:21:30,0 B,0 B,0 B,0 B
2024-12-17 21:21:45,0 B,0 B,0 B,0 B
2024-12-17 21:22:00,0 B,0 B,0 B,0 B
2024-12-17 21:22:15,0 B,0 B,0 B,0 B
2024-12-17 21:22:30,0 B,0 B,0 B,0 B
2024-12-17 21:22:45,0 B,0 B,0 B,0 B
2024-12-17 21:23:00,0 B,0 B,0 B,0 B
2024-12-17 21:23:15,0 B,0 B,0 B,0 B
2024-12-17 21:23:30,0 B,0 B,0 B,0 B
2024-12-17 21:23:45,0 B,0 B,0 B,0 B
2024-12-17 21:24:00,0 B,0 B,0 B,0 B
2024-12-17 21:24:15,0 B,0 B,0 B,0 B
2024-12-17 21:24:30,0 B,0 B,0 B,0 B
2024-12-17 21:24:45,0 B,0 B,0 B,0 B
2024-12-17 21:25:00,0 B,0 B,0 B,0 B
2024-12-17 21:25:15,0 B,0 B,0 B,0 B
2024-12-17 21:25:30,0 B,0 B,0 B,0 B
