"Time","core","dram"
2024-12-17 21:06:30,0.0691 W,3.80 W
2024-12-17 21:07:00,9.63 W,4.54 W
2024-12-17 21:07:30,10.4 W,4.65 W
2024-12-17 21:08:00,11.3 W,4.75 W
2024-12-17 21:08:30,12.4 W,4.82 W
2024-12-17 21:09:00,13.4 W,5.00 W
2024-12-17 21:09:30,14.2 W,5.08 W
2024-12-17 21:10:00,14.0 W,5.06 W
2024-12-17 21:10:30,14.4 W,5.03 W
2024-12-17 21:11:00,14.5 W,5.06 W
2024-12-17 21:11:30,14.5 W,5.05 W
2024-12-17 21:12:00,14.6 W,5.07 W
2024-12-17 21:12:30,14.5 W,5.06 W
2024-12-17 21:13:00,14.5 W,5.06 W
2024-12-17 21:13:30,14.5 W,5.03 W
2024-12-17 21:14:00,14.5 W,5.05 W
2024-12-17 21:14:30,14.6 W,5.06 W
2024-12-17 21:15:00,14.4 W,5.09 W
2024-12-17 21:15:30,14.5 W,5.04 W
2024-12-17 21:16:00,14.7 W,5.05 W
2024-12-17 21:16:30,14.2 W,5.05 W
2024-12-17 21:17:00,14.5 W,5.03 W
2024-12-17 21:17:30,14.5 W,5.03 W
2024-12-17 21:18:00,14.7 W,5.07 W
2024-12-17 21:18:30,14.4 W,5.03 W
2024-12-17 21:19:00,14.5 W,5.01 W
2024-12-17 21:19:30,14.2 W,5.06 W
2024-12-17 21:20:00,14.3 W,5.08 W
2024-12-17 21:20:30,14.5 W,5.03 W
2024-12-17 21:21:00,14.7 W,5.07 W
2024-12-17 21:21:30,14.7 W,5.06 W
2024-12-17 21:22:00,14.6 W,5.02 W
2024-12-17 21:22:30,14.5 W,5.04 W
2024-12-17 21:23:00,14.5 W,5.04 W
2024-12-17 21:23:30,14.6 W,5.06 W
2024-12-17 21:24:00,14.4 W,5.12 W
2024-12-17 21:24:30,14.7 W,5.10 W
2024-12-17 21:25:00,14.6 W,5.09 W
2024-12-17 21:25:30,14.3 W,5.09 W
2024-12-17 21:26:00,14.8 W,5.05 W
2024-12-17 21:26:30,14.4 W,5.04 W
2024-12-17 21:27:00,14.3 W,5.04 W
2024-12-17 21:27:30,14.2 W,5.09 W
2024-12-17 21:28:00,14.3 W,5.04 W
2024-12-17 21:28:30,14.7 W,5.06 W
2024-12-17 21:29:00,14.4 W,5.06 W
2024-12-17 21:29:30,14.8 W,5.07 W
2024-12-17 21:30:00,14.0 W,5.08 W
2024-12-17 21:30:30,14.3 W,5.04 W
2024-12-17 21:31:00,14.6 W,5.04 W
2024-12-17 21:31:30,14.7 W,5.05 W
2024-12-17 21:32:00,15.0 W,5.01 W
2024-12-17 21:32:30,14.4 W,5.07 W
2024-12-17 21:33:00,14.3 W,5.05 W
2024-12-17 21:33:30,14.5 W,5.06 W
2024-12-17 21:34:00,14.3 W,5.01 W
2024-12-17 21:34:30,14.4 W,5.02 W
2024-12-17 21:35:00,14.3 W,5.07 W
2024-12-17 21:35:30,14.3 W,5.08 W
2024-12-17 21:36:00,14.8 W,5.06 W
