"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-17 21:49:30,691 mW,140 mW,0 W,50.7 mW
2024-12-17 21:49:45,647 mW,544 mW,0 W,14.8 W
2024-12-17 21:50:00,11.6 W,487 mW,0 W,11.4 W
2024-12-17 21:50:15,21.8 W,373 mW,0 W,12.6 W
2024-12-17 21:50:30,51.3 W,232 mW,0 W,17.0 W
2024-12-17 21:50:45,65.2 W,184 mW,0 W,19.1 W
2024-12-17 21:51:00,72.0 W,289 mW,0 W,25.6 W
2024-12-17 21:51:15,171 W,248 mW,0 W,40.0 W
2024-12-17 21:51:30,96.6 W,205 mW,0 W,25.0 W
2024-12-17 21:51:45,93.8 W,269 mW,0 W,26.7 W
2024-12-17 21:52:00,58.4 W,193 mW,0 W,24.0 W
2024-12-17 21:52:15,67.4 W,200 mW,0 W,24.7 W
2024-12-17 21:52:30,57.5 W,246 mW,0 W,24.5 W
2024-12-17 21:52:45,55.8 W,191 mW,0 W,23.8 W
2024-12-17 21:53:00,72.3 W,205 mW,0 W,25.5 W
2024-12-17 21:53:15,98.9 W,226 mW,0 W,28.1 W
2024-12-17 21:53:30,96.8 W,282 mW,0 W,28.0 W
2024-12-17 21:53:45,53.2 W,298 mW,0 W,24.9 W
2024-12-17 21:54:00,72.0 W,309 mW,0 W,25.5 W
2024-12-17 21:54:15,58.5 W,150 mW,0 W,25.1 W
2024-12-17 21:54:30,69.6 W,266 mW,0 W,26.4 W
2024-12-17 21:54:45,59.7 W,202 mW,0 W,25.2 W
2024-12-17 21:55:00,60.2 W,260 mW,0 W,26.1 W
2024-12-17 21:55:15,412 W,271 mW,0 W,54.3 W
2024-12-17 21:55:30,508 W,360 mW,0 W,40.6 W
2024-12-17 21:55:45,551 W,378 mW,0 W,42.6 W
2024-12-17 21:56:00,544 W,440 mW,0 W,47.8 W
2024-12-17 21:56:15,557 W,431 mW,0 W,39.1 W
2024-12-17 21:56:30,505 W,500 mW,0 W,46.4 W
2024-12-17 21:56:45,170 W,372 mW,0 W,28.5 W
2024-12-17 21:57:00,59.2 W,220 mW,0 W,27.6 W
2024-12-17 21:57:15,59.4 W,217 mW,0 W,27.3 W
2024-12-17 21:57:30,2.05 W,113 mW,0 W,14.1 W
2024-12-17 21:57:45,55.4 W,201 mW,0 W,19.6 W
2024-12-17 21:58:00,73.8 W,262 mW,0 W,26.1 W
2024-12-17 21:58:15,92.0 W,225 mW,0 W,28.0 W
2024-12-17 21:58:30,128 W,896 mW,0 W,32.2 W
2024-12-17 21:58:45,123 W,607 mW,0 W,32.3 W
2024-12-17 21:59:00,58.0 W,533 mW,0 W,21.5 W
2024-12-17 21:59:15,59.5 W,402 mW,0 W,21.6 W
2024-12-17 21:59:30,68.1 W,696 mW,0 W,24.0 W
2024-12-17 21:59:45,47.5 W,446 mW,0 W,18.9 W
2024-12-17 22:00:00,107 W,465 mW,0 W,27.8 W
2024-12-17 22:00:15,104 W,141 mW,0 W,22.8 W
2024-12-17 22:00:30,86.4 W,270 mW,0 W,26.9 W
2024-12-17 22:00:45,95.1 W,220 mW,0 W,27.5 W
2024-12-17 22:01:00,479 W,465 mW,0 W,46.4 W
2024-12-17 22:01:15,539 W,514 mW,0 W,80.2 W
2024-12-17 22:01:30,587 W,485 mW,0 W,43.6 W
2024-12-17 22:01:45,525 W,607 mW,0 W,62.6 W
2024-12-17 22:02:00,514 W,337 mW,0 W,37.6 W
2024-12-17 22:02:15,327 W,433 mW,0 W,46.4 W
2024-12-17 22:02:30,78.0 W,237 mW,0 W,32.1 W
2024-12-17 22:02:45,68.7 W,229 mW,0 W,29.2 W
2024-12-17 22:03:00,88.4 W,365 mW,0 W,32.0 W
2024-12-17 22:03:15,18.1 W,460 mW,0 W,16.5 W
2024-12-17 22:03:30,69.6 W,389 mW,0 W,29.1 W
2024-12-17 22:03:45,62.8 W,206 mW,0 W,27.0 W
2024-12-17 22:04:00,64.0 W,301 mW,0 W,26.7 W
2024-12-17 22:04:15,70.1 W,204 mW,0 W,25.3 W
2024-12-17 22:04:30,145 W,252 mW,0 W,30.9 W
2024-12-17 22:04:45,100 W,252 mW,0 W,24.7 W
2024-12-17 22:05:00,120 W,159 mW,0 W,25.7 W
2024-12-17 22:05:15,93.8 W,274 mW,0 W,22.3 W
2024-12-17 22:05:30,110 W,212 mW,0 W,31.1 W
2024-12-17 22:05:45,134 W,292 mW,0 W,34.3 W
2024-12-17 22:06:00,90.5 W,387 mW,0 W,30.4 W
2024-12-17 22:06:15,79.0 W,255 mW,0 W,27.3 W
2024-12-17 22:06:30,84.0 W,328 mW,0 W,29.1 W
2024-12-17 22:06:45,62.4 W,153 mW,0 W,25.6 W
2024-12-17 22:07:00,93.1 W,270 mW,0 W,26.5 W
2024-12-17 22:07:15,55.3 W,200 mW,0 W,25.1 W
2024-12-17 22:07:30,500 W,472 mW,0 W,42.6 W
2024-12-17 22:07:45,550 W,517 mW,0 W,80.1 W
2024-12-17 22:08:00,561 W,552 mW,0 W,41.4 W
2024-12-17 22:08:15,564 W,550 mW,0 W,62.5 W
2024-12-17 22:08:30,516 W,588 mW,0 W,37.5 W
2024-12-17 22:08:45,503 W,334 mW,0 W,52.1 W
2024-12-17 22:09:00,120 W,288 mW,0 W,27.1 W
2024-12-17 22:09:15,78.8 W,229 mW,0 W,28.4 W
2024-12-17 22:09:30,64.2 W,323 mW,0 W,26.9 W
2024-12-17 22:09:45,64.1 W,162 mW,0 W,27.0 W
2024-12-17 22:10:00,24.4 W,110 mW,0 W,18.5 W
