"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-18 11:28:00,25.2 mW,88.0 mW,0 W,44.0 mW
2024-12-18 11:28:15,43.8 mW,206 mW,0 W,50.0 mW
2024-12-18 11:28:30,107 mW,126 mW,0 W,50.4 mW
2024-12-18 11:28:45,870 mW,71.8 mW,0 W,1.29 W
2024-12-18 11:29:00,154 mW,374 mW,0 W,9.92 W
2024-12-18 11:29:15,378 mW,511 mW,0 W,10.1 W
2024-12-18 11:29:30,838 mW,71.9 mW,0 W,11.9 W
2024-12-18 11:29:45,923 mW,121 mW,0 W,12.2 W
2024-12-18 11:30:00,1.66 W,73.1 mW,0 W,12.3 W
2024-12-18 11:30:15,1.32 W,122 mW,0 W,12.3 W
2024-12-18 11:30:30,1.65 W,98.2 mW,0 W,12.3 W
2024-12-18 11:30:45,1.36 W,74.1 mW,0 W,12.5 W
2024-12-18 11:31:00,1.39 W,366 mW,0 W,12.0 W
2024-12-18 11:31:15,1.82 W,497 mW,0 W,10.9 W
2024-12-18 11:31:30,1.46 W,541 mW,0 W,10.8 W
2024-12-18 11:31:45,1.42 W,349 mW,0 W,10.6 W
2024-12-18 11:32:00,1.43 W,483 mW,0 W,10.5 W
2024-12-18 11:32:15,1.29 W,413 mW,0 W,10.4 W
2024-12-18 11:32:30,1.35 W,413 mW,0 W,10.5 W
2024-12-18 11:32:45,1.64 W,208 mW,0 W,10.5 W
2024-12-18 11:33:00,1.59 W,99.5 mW,0 W,12.4 W
2024-12-18 11:33:15,1.49 W,73.5 mW,0 W,12.4 W
