"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/bin/bash","/usr/bin/mongod"
2024-12-17 14:32:15,0 B,0 B,0 B,0 B
2024-12-17 14:32:30,0 B,0 B,0 B,0 B
2024-12-17 14:32:45,0 B,0 B,0 B,0 B
2024-12-17 14:33:00,0 B,0 B,0 B,0 B
2024-12-17 14:33:15,0 B,0 B,0 B,0 B
2024-12-17 14:33:30,16.4 kB,0 B,0 B,0 B
2024-12-17 14:33:45,0 B,0 B,0 B,0 B
2024-12-17 14:34:00,0 B,0 B,0 B,0 B
2024-12-17 14:34:15,0 B,0 B,0 B,0 B
2024-12-17 14:34:30,0 B,0 B,0 B,0 B
2024-12-17 14:34:45,0 B,0 B,0 B,0 B
2024-12-17 14:35:00,0 B,0 B,0 B,0 B
2024-12-17 14:35:15,0 B,0 B,0 B,12.3 kB
2024-12-17 14:35:30,4.10 kB,0 B,0 B,0 B
2024-12-17 14:35:45,0 B,0 B,0 B,0 B
2024-12-17 14:36:00,0 B,0 B,0 B,0 B
2024-12-17 14:36:15,0 B,0 B,0 B,0 B
2024-12-17 14:36:30,0 B,0 B,0 B,0 B
2024-12-17 14:36:45,0 B,0 B,0 B,0 B
2024-12-17 14:37:00,0 B,0 B,0 B,0 B
2024-12-17 14:37:15,0 B,0 B,0 B,0 B
2024-12-17 14:37:30,0 B,0 B,0 B,0 B
2024-12-17 14:37:45,0 B,0 B,0 B,0 B
2024-12-17 14:38:00,0 B,0 B,0 B,0 B
2024-12-17 14:38:15,0 B,0 B,0 B,0 B
2024-12-17 14:38:30,0 B,0 B,0 B,0 B
2024-12-17 14:38:45,0 B,0 B,0 B,0 B
2024-12-17 14:39:00,0 B,0 B,0 B,0 B
2024-12-17 14:39:15,0 B,0 B,0 B,0 B
2024-12-17 14:39:30,0 B,0 B,0 B,0 B
2024-12-17 14:39:45,4.10 kB,0 B,0 B,0 B
2024-12-17 14:40:00,0 B,0 B,0 B,0 B
2024-12-17 14:40:15,0 B,0 B,0 B,0 B
2024-12-17 14:40:30,36.9 kB,0 B,0 B,0 B
2024-12-17 14:40:45,4.10 kB,0 B,0 B,0 B
2024-12-17 14:41:00,0 B,0 B,0 B,0 B
2024-12-17 14:41:15,4.10 kB,0 B,0 B,0 B
2024-12-17 14:41:30,8.19 kB,0 B,0 B,0 B
2024-12-17 14:41:45,16.4 kB,0 B,0 B,0 B
2024-12-17 14:42:00,12.3 kB,0 B,0 B,0 B
2024-12-17 14:42:15,12.3 kB,0 B,0 B,0 B
2024-12-17 14:42:30,4.10 kB,0 B,0 B,0 B
2024-12-17 14:42:45,0 B,0 B,0 B,0 B
2024-12-17 14:43:00,0 B,0 B,0 B,0 B
2024-12-17 14:43:15,0 B,0 B,0 B,0 B
2024-12-17 14:43:30,8.19 kB,0 B,0 B,0 B
2024-12-17 14:43:45,8.19 kB,0 B,0 B,0 B
2024-12-17 14:44:00,4.10 kB,0 B,0 B,0 B
2024-12-17 14:44:15,4.10 kB,0 B,0 B,0 B
2024-12-17 14:44:30,0 B,0 B,0 B,0 B
2024-12-17 14:44:45,0 B,0 B,0 B,0 B
2024-12-17 14:45:00,0 B,0 B,0 B,0 B
2024-12-17 14:45:15,0 B,0 B,0 B,0 B
2024-12-17 14:45:30,0 B,0 B,0 B,0 B
2024-12-17 14:45:45,0 B,0 B,0 B,0 B
2024-12-17 14:46:00,0 B,0 B,0 B,0 B
2024-12-17 14:46:15,0 B,0 B,0 B,0 B
2024-12-17 14:46:30,0 B,0 B,0 B,0 B
2024-12-17 14:46:45,0 B,0 B,0 B,0 B
2024-12-17 14:47:00,0 B,0 B,0 B,0 B
2024-12-17 14:47:15,0 B,0 B,0 B,0 B
2024-12-17 14:47:30,0 B,0 B,0 B,0 B
2024-12-17 14:47:45,0 B,0 B,0 B,0 B
2024-12-17 14:48:00,4.10 kB,0 B,0 B,0 B
2024-12-17 14:48:15,0 B,0 B,0 B,0 B
2024-12-17 14:48:30,0 B,0 B,0 B,0 B
2024-12-17 14:48:45,0 B,0 B,0 B,0 B
2024-12-17 14:49:00,32.8 kB,0 B,0 B,0 B
2024-12-17 14:49:15,0 B,0 B,0 B,0 B
2024-12-17 14:49:30,0 B,0 B,0 B,0 B
2024-12-17 14:49:45,0 B,0 B,0 B,0 B
2024-12-17 14:50:00,0 B,0 B,0 B,0 B
2024-12-17 14:50:15,0 B,0 B,0 B,0 B
2024-12-17 14:50:30,0 B,0 B,0 B,0 B
2024-12-17 14:50:45,0 B,0 B,0 B,0 B
2024-12-17 14:51:00,0 B,0 B,0 B,0 B
2024-12-17 14:51:15,0 B,0 B,0 B,0 B
2024-12-17 14:51:30,0 B,0 B,0 B,0 B
2024-12-17 14:51:45,0 B,0 B,0 B,0 B
2024-12-17 14:52:00,0 B,0 B,0 B,0 B
2024-12-17 14:52:15,0 B,0 B,0 B,0 B
2024-12-17 14:52:30,0 B,0 B,0 B,0 B
2024-12-17 14:52:45,0 B,0 B,0 B,0 B
2024-12-17 14:53:00,0 B,0 B,0 B,0 B
2024-12-17 14:53:15,0 B,0 B,0 B,0 B
2024-12-17 14:53:30,0 B,0 B,0 B,53.2 kB
2024-12-17 14:53:45,4.10 kB,0 B,0 B,0 B
2024-12-17 14:54:00,0 B,0 B,0 B,0 B
2024-12-17 14:54:15,0 B,0 B,0 B,0 B
2024-12-17 14:54:30,0 B,0 B,0 B,0 B
2024-12-17 14:54:45,0 B,0 B,0 B,4.10 kB
2024-12-17 14:55:00,201 kB,0 B,0 B,0 B
2024-12-17 14:55:15,1.00 MB,0 B,0 B,0 B
2024-12-17 14:55:30,274 kB,0 B,0 B,0 B
2024-12-17 14:55:45,176 kB,0 B,0 B,0 B
2024-12-17 14:56:00,53.2 kB,0 B,0 B,0 B
2024-12-17 14:56:15,77.8 kB,0 B,0 B,0 B
2024-12-17 14:56:30,233 kB,0 B,0 B,0 B
2024-12-17 14:56:45,344 kB,0 B,0 B,0 B
2024-12-17 14:57:00,20.5 kB,0 B,0 B,0 B
2024-12-17 14:57:15,16.4 kB,0 B,0 B,0 B
2024-12-17 14:57:30,147 kB,0 B,0 B,0 B
2024-12-17 14:57:45,143 kB,0 B,0 B,0 B
2024-12-17 14:58:00,94.2 kB,0 B,0 B,0 B
2024-12-17 14:58:15,135 kB,0 B,0 B,1.90 MB
2024-12-17 14:58:30,0 B,0 B,0 B,0 B
2024-12-17 14:58:45,0 B,0 B,0 B,0 B
2024-12-17 14:59:00,86.0 kB,0 B,0 B,0 B
2024-12-17 14:59:15,86.0 kB,0 B,0 B,0 B
2024-12-17 14:59:30,57.3 kB,0 B,0 B,0 B
2024-12-17 14:59:45,20.5 kB,0 B,0 B,0 B
2024-12-17 15:00:00,0 B,0 B,0 B,0 B
2024-12-17 15:00:15,0 B,0 B,0 B,0 B
2024-12-17 15:00:30,0 B,0 B,0 B,0 B
2024-12-17 15:00:45,0 B,0 B,0 B,0 B
2024-12-17 15:01:00,0 B,0 B,0 B,0 B
2024-12-17 15:01:15,0 B,0 B,0 B,0 B
2024-12-17 15:01:30,0 B,0 B,0 B,0 B
2024-12-17 15:01:45,0 B,0 B,0 B,0 B
2024-12-17 15:02:00,0 B,0 B,0 B,0 B
2024-12-17 15:02:15,0 B,0 B,0 B,0 B
2024-12-17 15:02:30,0 B,0 B,0 B,0 B
2024-12-17 15:02:45,0 B,0 B,0 B,0 B
2024-12-17 15:03:00,0 B,0 B,0 B,0 B
2024-12-17 15:03:15,0 B,0 B,0 B,0 B
