"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/bin/bash","/usr/bin/mongod"
2024-12-17 14:32:15,57.3 kB,0 B,0 B,111 kB
2024-12-17 14:32:30,0 B,0 B,0 B,28.7 kB
2024-12-17 14:32:45,0 B,0 B,0 B,28.7 kB
2024-12-17 14:33:00,36.3 MB,0 B,0 B,32.8 kB
2024-12-17 14:33:15,6.05 MB,0 B,0 B,94.2 kB
2024-12-17 14:33:30,59.8 MB,0 B,0 B,32.8 kB
2024-12-17 14:33:45,0 B,0 B,0 B,32.8 kB
2024-12-17 14:34:00,255 MB,0 B,0 B,36.9 kB
2024-12-17 14:34:15,188 MB,0 B,0 B,106 kB
2024-12-17 14:34:30,18.0 MB,0 B,0 B,36.9 kB
2024-12-17 14:34:45,101 MB,0 B,0 B,41.0 kB
2024-12-17 14:35:00,123 MB,0 B,0 B,41.0 kB
2024-12-17 14:35:15,2.49 MB,0 B,0 B,102 kB
2024-12-17 14:35:30,201 MB,0 B,0 B,20.5 kB
2024-12-17 14:35:45,91.2 MB,0 B,0 B,20.5 kB
2024-12-17 14:36:00,143 MB,0 B,0 B,24.6 kB
2024-12-17 14:36:15,82.7 MB,0 B,0 B,24.6 kB
2024-12-17 14:36:30,60.5 MB,0 B,0 B,28.7 kB
2024-12-17 14:36:45,176 MB,0 B,0 B,28.7 kB
2024-12-17 14:37:00,43.4 MB,0 B,0 B,28.7 kB
2024-12-17 14:37:15,1.25 MB,0 B,0 B,28.7 kB
2024-12-17 14:37:30,0 B,0 B,0 B,32.8 kB
2024-12-17 14:37:45,0 B,0 B,0 B,32.8 kB
2024-12-17 14:38:00,0 B,0 B,0 B,32.8 kB
2024-12-17 14:38:15,0 B,0 B,0 B,32.8 kB
2024-12-17 14:38:30,403 MB,0 B,0 B,36.9 kB
2024-12-17 14:38:45,2.75 GB,0 B,0 B,36.9 kB
2024-12-17 14:39:00,123 MB,0 B,0 B,36.9 kB
2024-12-17 14:39:15,79.6 MB,0 B,0 B,41.0 kB
2024-12-17 14:39:30,13.0 MB,0 B,0 B,41.0 kB
2024-12-17 14:39:45,38.7 MB,0 B,0 B,41.0 kB
2024-12-17 14:40:00,30.7 MB,0 B,0 B,45.1 kB
2024-12-17 14:40:15,44.8 MB,0 B,0 B,49.2 kB
2024-12-17 14:40:30,237 MB,0 B,0 B,20.5 kB
2024-12-17 14:40:45,322 MB,0 B,0 B,20.5 kB
2024-12-17 14:41:00,179 MB,0 B,0 B,24.6 kB
2024-12-17 14:41:15,131 MB,0 B,0 B,24.6 kB
2024-12-17 14:41:30,216 MB,0 B,0 B,28.7 kB
2024-12-17 14:41:45,242 MB,0 B,0 B,28.7 kB
2024-12-17 14:42:00,361 MB,0 B,0 B,28.7 kB
2024-12-17 14:42:15,366 MB,0 B,0 B,28.7 kB
2024-12-17 14:42:30,307 MB,0 B,0 B,32.8 kB
2024-12-17 14:42:45,332 MB,0 B,0 B,32.8 kB
2024-12-17 14:43:00,96.8 MB,0 B,0 B,36.9 kB
2024-12-17 14:43:15,71.8 MB,0 B,0 B,36.9 kB
2024-12-17 14:43:30,46.8 MB,0 B,0 B,45.1 kB
2024-12-17 14:43:45,45.9 MB,0 B,0 B,36.9 kB
2024-12-17 14:44:00,27.7 MB,0 B,0 B,41.0 kB
2024-12-17 14:44:15,26.2 MB,0 B,0 B,41.0 kB
2024-12-17 14:44:30,12.5 MB,0 B,0 B,106 kB
2024-12-17 14:44:45,55.5 MB,0 B,0 B,45.1 kB
2024-12-17 14:45:00,79.2 MB,0 B,0 B,45.1 kB
2024-12-17 14:45:15,18.8 MB,0 B,0 B,53.2 kB
2024-12-17 14:45:30,113 MB,0 B,0 B,127 kB
2024-12-17 14:45:45,33.4 MB,0 B,0 B,20.5 kB
