"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/bin/mongod"
2024-12-19 16:24:30,0 B,0 B,0 B,0 B
2024-12-19 16:24:45,0 B,0 B,0 B,0 B
2024-12-19 16:25:00,0 B,0 B,0 B,0 B
2024-12-19 16:25:15,0 B,0 B,0 B,0 B
2024-12-19 16:25:30,0 B,0 B,0 B,0 B
2024-12-19 16:25:45,0 B,0 B,0 B,0 B
2024-12-19 16:26:00,0 B,0 B,0 B,0 B
2024-12-19 16:26:15,0 B,0 B,0 B,0 B
2024-12-19 16:26:30,0 B,0 B,0 B,0 B
2024-12-19 16:26:45,0 B,0 B,0 B,0 B
2024-12-19 16:27:00,0 B,0 B,0 B,0 B
2024-12-19 16:27:15,0 B,0 B,0 B,0 B
2024-12-19 16:27:30,0 B,0 B,0 B,0 B
2024-12-19 16:27:45,0 B,0 B,0 B,0 B
2024-12-19 16:28:00,0 B,0 B,0 B,0 B
2024-12-19 16:28:15,0 B,0 B,0 B,0 B
2024-12-19 16:28:30,0 B,0 B,0 B,0 B
2024-12-19 16:28:45,0 B,0 B,0 B,0 B
2024-12-19 16:29:00,0 B,0 B,0 B,0 B
2024-12-19 16:29:15,0 B,0 B,0 B,0 B
2024-12-19 16:29:30,0 B,0 B,0 B,0 B
2024-12-19 16:29:45,0 B,0 B,0 B,0 B
2024-12-19 16:30:00,0 B,0 B,0 B,0 B
2024-12-19 16:30:15,0 B,0 B,0 B,0 B
2024-12-19 16:30:30,0 B,0 B,0 B,0 B
2024-12-19 16:30:45,0 B,0 B,0 B,0 B
2024-12-19 16:31:00,0 B,0 B,0 B,0 B
2024-12-19 16:31:15,0 B,0 B,0 B,0 B
2024-12-19 16:31:30,0 B,0 B,0 B,0 B
2024-12-19 16:31:45,0 B,0 B,0 B,0 B
2024-12-19 16:32:00,0 B,0 B,0 B,0 B
2024-12-19 16:32:15,0 B,0 B,0 B,0 B
2024-12-19 16:32:30,0 B,0 B,0 B,0 B
2024-12-19 16:32:45,0 B,0 B,0 B,0 B
2024-12-19 16:33:00,0 B,0 B,0 B,0 B
2024-12-19 16:33:15,0 B,0 B,0 B,0 B
2024-12-19 16:33:30,0 B,0 B,0 B,0 B
2024-12-19 16:33:45,0 B,0 B,0 B,0 B
2024-12-19 16:34:00,0 B,0 B,0 B,0 B
2024-12-19 16:34:15,0 B,0 B,0 B,0 B
2024-12-19 16:34:30,0 B,0 B,0 B,0 B
2024-12-19 16:34:45,0 B,0 B,0 B,0 B
2024-12-19 16:35:00,0 B,0 B,0 B,0 B
2024-12-19 16:35:15,0 B,0 B,0 B,0 B
2024-12-19 16:35:30,0 B,0 B,0 B,0 B
2024-12-19 16:35:45,0 B,0 B,0 B,0 B
2024-12-19 16:36:00,0 B,0 B,0 B,0 B
2024-12-19 16:36:15,0 B,0 B,0 B,0 B
2024-12-19 16:36:30,0 B,0 B,0 B,0 B
2024-12-19 16:36:45,0 B,0 B,0 B,0 B
2024-12-19 16:37:00,0 B,0 B,0 B,0 B
2024-12-19 16:37:15,0 B,0 B,0 B,0 B
2024-12-19 16:37:30,0 B,0 B,0 B,0 B
2024-12-19 16:37:45,0 B,0 B,0 B,0 B
2024-12-19 16:38:00,0 B,0 B,0 B,0 B
2024-12-19 16:38:15,0 B,0 B,0 B,0 B
2024-12-19 16:38:30,0 B,0 B,0 B,0 B
2024-12-19 16:38:45,0 B,0 B,0 B,0 B
2024-12-19 16:39:00,0 B,0 B,0 B,0 B
2024-12-19 16:39:15,0 B,0 B,0 B,0 B
2024-12-19 16:39:30,0 B,0 B,0 B,0 B
2024-12-19 16:39:45,0 B,0 B,0 B,0 B
