"Time","core","dram"
2024-12-19 16:24:30,9.81 W,4.51 W
2024-12-19 16:25:00,10.1 W,4.52 W
2024-12-19 16:25:30,10.0 W,4.52 W
2024-12-19 16:26:00,11.0 W,4.60 W
2024-12-19 16:26:30,11.2 W,4.60 W
2024-12-19 16:27:00,11.2 W,4.60 W
2024-12-19 16:27:30,9.85 W,4.53 W
2024-12-19 16:28:00,9.81 W,4.52 W
2024-12-19 16:28:30,9.72 W,4.51 W
2024-12-19 16:29:00,11.0 W,4.59 W
2024-12-19 16:29:30,11.1 W,4.59 W
2024-12-19 16:30:00,11.2 W,4.60 W
2024-12-19 16:30:30,10.0 W,4.52 W
2024-12-19 16:31:00,9.94 W,4.52 W
2024-12-19 16:31:30,9.81 W,4.51 W
2024-12-19 16:32:00,9.98 W,4.51 W
2024-12-19 16:32:30,11.1 W,4.59 W
2024-12-19 16:33:00,11.0 W,4.59 W
2024-12-19 16:33:30,11.1 W,4.58 W
2024-12-19 16:34:00,10.00 W,4.51 W
2024-12-19 16:34:30,9.92 W,4.52 W
2024-12-19 16:35:00,9.86 W,4.53 W
2024-12-19 16:35:30,10.5 W,4.55 W
2024-12-19 16:36:00,11.0 W,4.59 W
2024-12-19 16:36:30,11.1 W,4.59 W
2024-12-19 16:37:00,11.1 W,4.58 W
2024-12-19 16:37:30,9.99 W,4.51 W
2024-12-19 16:38:00,9.91 W,4.51 W
2024-12-19 16:38:30,9.85 W,4.51 W
2024-12-19 16:39:00,10.8 W,4.58 W
2024-12-19 16:39:30,10.8 W,4.59 W
2024-12-19 16:40:00,10.7 W,4.59 W
2024-12-19 16:40:30,9.85 W,4.52 W
2024-12-19 16:41:00,9.97 W,4.51 W
2024-12-19 16:41:30,10.0 W,4.52 W
2024-12-19 16:42:00,9.94 W,4.51 W
2024-12-19 16:42:30,10.8 W,4.58 W
2024-12-19 16:43:00,11.1 W,4.59 W
2024-12-19 16:43:30,10.9 W,4.58 W
2024-12-19 16:44:00,10.1 W,4.52 W
2024-12-19 16:44:30,9.95 W,4.51 W
2024-12-19 16:45:00,9.90 W,4.53 W
2024-12-19 16:45:30,11.0 W,4.59 W
2024-12-19 16:46:00,11.0 W,4.60 W
2024-12-19 16:46:30,11.3 W,4.59 W
2024-12-19 16:47:00,10.1 W,4.53 W
2024-12-19 16:47:30,9.96 W,4.52 W
2024-12-19 16:48:00,10.1 W,4.51 W
2024-12-19 16:48:30,9.78 W,4.52 W
2024-12-19 16:49:00,11.0 W,4.59 W
2024-12-19 16:49:30,11.0 W,4.59 W
2024-12-19 16:50:00,11.4 W,4.60 W
2024-12-19 16:50:30,9.88 W,4.51 W
2024-12-19 16:51:00,9.73 W,4.52 W
2024-12-19 16:51:30,9.82 W,4.51 W
2024-12-19 16:52:00,10.7 W,4.58 W
2024-12-19 16:52:30,11.1 W,4.58 W
2024-12-19 16:53:00,11.2 W,4.60 W
2024-12-19 16:53:30,10.8 W,4.57 W
2024-12-19 16:54:00,9.94 W,4.51 W
2024-12-19 16:54:30,9.92 W,4.51 W
