"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server"
2024-12-18 13:38:00,865 mW,48.1 mW,0 W
2024-12-18 13:38:15,99.5 mW,99.5 mW,0 W
2024-12-18 13:38:30,323 mW,74.4 mW,0 W
2024-12-18 13:38:45,639 mW,123 mW,0 W
2024-12-18 13:39:00,1.04 W,50.5 mW,0 W
2024-12-18 13:39:15,1.44 W,151 mW,0 W
2024-12-18 13:39:30,1.55 W,218 mW,0 W
2024-12-18 13:39:45,2.15 W,531 mW,0 W
2024-12-18 13:40:00,2.38 W,606 mW,0 W
2024-12-18 13:40:15,2.67 W,497 mW,0 W
2024-12-18 13:40:30,3.17 W,384 mW,0 W
2024-12-18 13:40:45,3.92 W,502 mW,0 W
2024-12-18 13:41:00,4.04 W,642 mW,0 W
2024-12-18 13:41:15,4.41 W,241 mW,0 W
2024-12-18 13:41:30,3.58 W,327 mW,0 W
2024-12-18 13:41:45,4.19 W,155 mW,0 W
2024-12-18 13:42:00,3.99 W,51.1 mW,0 W
2024-12-18 13:42:15,4.37 W,129 mW,0 W
2024-12-18 13:42:30,3.67 W,127 mW,0 W
2024-12-18 13:42:45,3.78 W,128 mW,0 W
2024-12-18 13:43:00,3.98 W,128 mW,0 W
2024-12-18 13:43:15,3.60 W,128 mW,0 W
2024-12-18 13:43:30,3.38 W,359 mW,0 W
2024-12-18 13:43:45,3.79 W,504 mW,0 W
2024-12-18 13:44:00,4.26 W,311 mW,0 W
2024-12-18 13:44:15,3.94 W,697 mW,0 W
2024-12-18 13:44:30,3.88 W,479 mW,0 W
2024-12-18 13:44:45,4.21 W,479 mW,0 W
2024-12-18 13:45:00,4.26 W,574 mW,0 W
2024-12-18 13:45:15,4.03 W,555 mW,0 W
2024-12-18 13:45:30,4.17 W,104 mW,0 W
2024-12-18 13:45:45,3.72 W,180 mW,0 W
2024-12-18 13:46:00,4.07 W,154 mW,0 W
2024-12-18 13:46:15,4.06 W,77.6 mW,0 W
2024-12-18 13:46:30,3.99 W,103 mW,0 W
2024-12-18 13:46:45,3.97 W,76.8 mW,0 W
2024-12-18 13:47:00,4.06 W,103 mW,0 W
2024-12-18 13:47:15,4.19 W,77.2 mW,0 W
2024-12-18 13:47:30,4.13 W,193 mW,0 W
2024-12-18 13:47:45,4.00 W,194 mW,0 W
2024-12-18 13:48:00,4.06 W,212 mW,0 W
2024-12-18 13:48:15,3.79 W,214 mW,0 W
2024-12-18 13:48:30,3.68 W,215 mW,0 W
2024-12-18 13:48:45,4.24 W,336 mW,0 W
2024-12-18 13:49:00,4.05 W,218 mW,0 W
2024-12-18 13:49:15,4.66 W,457 mW,0 W
2024-12-18 13:49:30,3.82 W,103 mW,0 W
2024-12-18 13:49:45,4.14 W,128 mW,0 W
2024-12-18 13:50:00,4.23 W,101 mW,0 W
2024-12-18 13:50:15,4.13 W,128 mW,0 W
2024-12-18 13:50:30,3.93 W,154 mW,0 W
2024-12-18 13:50:45,3.95 W,76.4 mW,0 W
2024-12-18 13:51:00,3.60 W,128 mW,0 W
2024-12-18 13:51:15,3.66 W,127 mW,0 W
2024-12-18 13:51:30,3.86 W,479 mW,0 W
2024-12-18 13:51:45,3.84 W,448 mW,0 W
2024-12-18 13:52:00,4.55 W,433 mW,0 W
2024-12-18 13:52:15,4.40 W,481 mW,0 W
2024-12-18 13:52:30,3.77 W,382 mW,0 W
2024-12-18 13:52:45,3.50 W,384 mW,0 W
2024-12-18 13:53:00,3.99 W,601 mW,0 W
2024-12-18 13:53:15,3.79 W,288 mW,0 W
2024-12-18 13:53:30,3.77 W,129 mW,0 W
2024-12-18 13:53:45,3.89 W,76.2 mW,0 W
2024-12-18 13:54:00,3.87 W,76.8 mW,0 W
2024-12-18 13:54:15,3.94 W,102 mW,0 W
2024-12-18 13:54:30,4.11 W,77.0 mW,0 W
2024-12-18 13:54:45,4.25 W,104 mW,0 W
2024-12-18 13:55:00,4.37 W,103 mW,0 W
2024-12-18 13:55:15,4.49 W,273 mW,0 W
2024-12-18 13:55:30,4.33 W,532 mW,0 W
2024-12-18 13:55:45,4.50 W,363 mW,0 W
2024-12-18 13:56:00,4.25 W,451 mW,0 W
2024-12-18 13:56:15,3.82 W,406 mW,0 W
2024-12-18 13:56:30,3.39 W,624 mW,0 W
2024-12-18 13:56:45,3.91 W,453 mW,0 W
2024-12-18 13:57:00,3.61 W,214 mW,0 W
2024-12-18 13:57:15,3.72 W,126 mW,0 W
2024-12-18 13:57:30,3.37 W,103 mW,0 W
2024-12-18 13:57:45,3.76 W,103 mW,0 W
2024-12-18 13:58:00,3.35 W,102 mW,0 W
2024-12-18 13:58:15,3.66 W,102 mW,0 W
2024-12-18 13:58:30,3.65 W,128 mW,0 W
2024-12-18 13:58:45,3.63 W,101 mW,0 W
2024-12-18 13:59:00,3.50 W,288 mW,0 W
2024-12-18 13:59:15,3.95 W,499 mW,0 W
2024-12-18 13:59:30,3.81 W,337 mW,0 W
2024-12-18 13:59:45,4.11 W,432 mW,0 W
2024-12-18 14:00:00,4.69 W,459 mW,0 W
2024-12-18 14:00:15,4.29 W,581 mW,0 W
2024-12-18 14:00:30,3.99 W,580 mW,0 W
2024-12-18 14:00:45,3.97 W,363 mW,0 W
2024-12-18 14:01:00,4.41 W,223 mW,0 W
2024-12-18 14:01:15,4.42 W,129 mW,0 W
2024-12-18 14:01:30,3.98 W,103 mW,0 W
2024-12-18 14:01:45,3.89 W,127 mW,0 W
2024-12-18 14:02:00,3.72 W,103 mW,0 W
2024-12-18 14:02:15,3.66 W,103 mW,0 W
2024-12-18 14:02:30,4.29 W,103 mW,0 W
2024-12-18 14:02:45,4.22 W,128 mW,0 W
2024-12-18 14:03:00,4.03 W,364 mW,0 W
2024-12-18 14:03:15,3.98 W,336 mW,0 W
2024-12-18 14:03:30,3.60 W,552 mW,0 W
2024-12-18 14:03:45,4.26 W,363 mW,0 W
2024-12-18 14:04:00,4.20 W,433 mW,0 W
2024-12-18 14:04:15,3.83 W,464 mW,0 W
2024-12-18 14:04:30,3.60 W,486 mW,0 W
2024-12-18 14:04:45,4.08 W,461 mW,0 W
2024-12-18 14:05:00,4.12 W,250 mW,0 W
2024-12-18 14:05:15,3.98 W,129 mW,0 W
2024-12-18 14:05:30,4.22 W,128 mW,0 W
2024-12-18 14:05:45,4.17 W,103 mW,0 W
2024-12-18 14:06:00,4.46 W,128 mW,0 W
2024-12-18 14:06:15,4.41 W,77.4 mW,0 W
2024-12-18 14:06:30,4.08 W,52.3 mW,0 W
2024-12-18 14:06:45,4.39 W,155 mW,0 W
2024-12-18 14:07:00,3.89 W,297 mW,0 W
2024-12-18 14:07:15,4.03 W,501 mW,0 W
2024-12-18 14:07:30,4.05 W,314 mW,0 W
2024-12-18 14:07:45,4.69 W,481 mW,0 W
2024-12-18 14:08:00,4.78 W,411 mW,0 W
2024-12-18 14:08:15,4.61 W,317 mW,0 W
2024-12-18 14:08:30,1.91 W,454 mW,0 W
2024-12-18 14:08:45,369 mW,392 mW,0 W
