"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/bin/mongod"
2024-12-17 16:01:15,0 B,0 B,0 B,28.7 kB
2024-12-17 16:01:30,0 B,0 B,0 B,94.2 kB
2024-12-17 16:01:45,0 B,0 B,0 B,32.8 kB
2024-12-17 16:02:00,0 B,0 B,0 B,32.8 kB
2024-12-17 16:02:15,0 B,0 B,0 B,32.8 kB
2024-12-17 16:02:30,0 B,9.49 MB,0 B,152 kB
2024-12-17 16:02:45,0 B,129 MB,0 B,20.5 kB
2024-12-17 16:03:00,0 B,104 MB,0 B,20.5 kB
2024-12-17 16:03:15,0 B,30.0 MB,0 B,24.6 kB
2024-12-17 16:03:30,0 B,0 B,0 B,106 kB
2024-12-17 16:03:45,0 B,0 B,0 B,24.6 kB
2024-12-17 16:04:00,0 B,0 B,0 B,28.7 kB
2024-12-17 16:04:15,0 B,0 B,0 B,28.7 kB
2024-12-17 16:04:30,0 B,0 B,0 B,86.0 kB
2024-12-17 16:04:45,0 B,0 B,0 B,28.7 kB
2024-12-17 16:05:00,0 B,0 B,0 B,32.8 kB
2024-12-17 16:05:15,0 B,4.10 kB,0 B,32.8 kB
2024-12-17 16:05:30,0 B,526 MB,0 B,90.1 kB
2024-12-17 16:05:45,0 B,499 MB,0 B,49.2 kB
2024-12-17 16:06:00,0 B,699 MB,0 B,36.9 kB
2024-12-17 16:06:15,0 B,236 MB,0 B,36.9 kB
2024-12-17 16:06:30,0 B,25.4 MB,0 B,41.0 kB
2024-12-17 16:06:45,0 B,12.9 MB,0 B,111 kB
2024-12-17 16:07:00,0 B,112 MB,0 B,41.0 kB
2024-12-17 16:07:15,0 B,363 MB,0 B,41.0 kB
2024-12-17 16:07:30,0 B,293 MB,0 B,49.2 kB
2024-12-17 16:07:45,0 B,422 MB,0 B,143 kB
2024-12-17 16:08:00,0 B,317 MB,0 B,20.5 kB
2024-12-17 16:08:15,0 B,278 MB,0 B,24.6 kB
2024-12-17 16:08:30,0 B,253 MB,0 B,24.6 kB
2024-12-17 16:08:45,0 B,271 MB,0 B,94.2 kB
2024-12-17 16:09:00,0 B,215 MB,0 B,28.7 kB
2024-12-17 16:09:15,0 B,273 MB,0 B,28.7 kB
2024-12-17 16:09:30,0 B,123 MB,0 B,28.7 kB
2024-12-17 16:09:45,0 B,78.7 MB,0 B,98.3 kB
2024-12-17 16:10:00,0 B,165 MB,0 B,32.8 kB
2024-12-17 16:10:15,0 B,80.8 MB,0 B,32.8 kB
2024-12-17 16:10:30,0 B,51.3 MB,0 B,36.9 kB
2024-12-17 16:10:45,0 B,37.5 MB,0 B,102 kB
2024-12-17 16:11:00,0 B,43.9 MB,0 B,36.9 kB
2024-12-17 16:11:15,0 B,206 MB,0 B,36.9 kB
2024-12-17 16:11:30,0 B,128 MB,0 B,41.0 kB
2024-12-17 16:11:45,0 B,6.01 MB,0 B,49.2 kB
2024-12-17 16:12:00,0 B,78.1 MB,0 B,41.0 kB
2024-12-17 16:12:15,0 B,13.8 MB,0 B,45.1 kB
2024-12-17 16:12:30,0 B,75.3 MB,0 B,49.2 kB
2024-12-17 16:12:45,0 B,57.8 MB,0 B,20.5 kB
2024-12-17 16:13:00,0 B,49.1 MB,0 B,20.5 kB
2024-12-17 16:13:15,0 B,92.8 MB,0 B,24.6 kB
2024-12-17 16:13:30,0 B,72.2 MB,0 B,24.6 kB
2024-12-17 16:13:45,0 B,46.2 MB,0 B,24.6 kB
2024-12-17 16:14:00,0 B,40.0 MB,0 B,28.7 kB
2024-12-17 16:14:15,0 B,27.1 MB,0 B,28.7 kB
2024-12-17 16:14:30,0 B,124 MB,0 B,32.8 kB
2024-12-17 16:14:45,0 B,37.2 MB,0 B,28.7 kB
2024-12-17 16:15:00,0 B,6.20 MB,0 B,32.8 kB
2024-12-17 16:15:15,0 B,26.4 MB,0 B,32.8 kB
2024-12-17 16:15:30,0 B,119 kB,0 B,36.9 kB
2024-12-17 16:15:45,0 B,12.9 MB,0 B,36.9 kB
2024-12-17 16:16:00,0 B,0 B,0 B,36.9 kB
2024-12-17 16:16:15,0 B,0 B,0 B,36.9 kB
2024-12-17 16:16:30,0 B,0 B,0 B,41.0 kB
2024-12-17 16:16:45,0 B,0 B,0 B,41.0 kB
2024-12-17 16:17:00,0 B,0 B,0 B,41.0 kB
2024-12-17 16:17:15,0 B,0 B,0 B,41.0 kB
2024-12-17 16:17:30,0 B,1.44 GB,0 B,49.2 kB
2024-12-17 16:17:45,0 B,186 MB,0 B,20.5 kB
2024-12-17 16:18:00,0 B,492 MB,0 B,20.5 kB
2024-12-17 16:18:15,0 B,265 MB,0 B,24.6 kB
2024-12-17 16:18:30,0 B,220 MB,0 B,24.6 kB
2024-12-17 16:18:45,0 B,286 MB,0 B,24.6 kB
2024-12-17 16:19:00,0 B,295 MB,0 B,102 kB
2024-12-17 16:19:15,0 B,248 MB,0 B,28.7 kB
2024-12-17 16:19:30,0 B,215 MB,0 B,32.8 kB
2024-12-17 16:19:45,0 B,121 MB,0 B,32.8 kB
2024-12-17 16:20:00,0 B,49.5 MB,0 B,94.2 kB
2024-12-17 16:20:15,0 B,74.2 MB,0 B,32.8 kB
2024-12-17 16:20:30,0 B,216 MB,0 B,36.9 kB
2024-12-17 16:20:45,0 B,180 MB,0 B,36.9 kB
2024-12-17 16:21:00,0 B,186 MB,0 B,102 kB
2024-12-17 16:21:15,0 B,198 MB,0 B,41.0 kB
2024-12-17 16:21:30,0 B,182 MB,0 B,41.0 kB
2024-12-17 16:21:45,0 B,153 MB,0 B,41.0 kB
2024-12-17 16:22:00,0 B,217 MB,0 B,111 kB
2024-12-17 16:22:15,0 B,272 MB,0 B,45.1 kB
2024-12-17 16:22:30,0 B,242 MB,0 B,53.2 kB
2024-12-17 16:22:45,0 B,187 MB,0 B,20.5 kB
2024-12-17 16:23:00,0 B,160 MB,0 B,86.0 kB
2024-12-17 16:23:15,0 B,153 MB,0 B,81.9 kB
2024-12-17 16:23:30,0 B,113 MB,0 B,24.6 kB
2024-12-17 16:23:45,0 B,73.3 MB,0 B,24.6 kB
2024-12-17 16:24:00,0 B,49.5 MB,0 B,28.7 kB
2024-12-17 16:24:15,0 B,131 MB,0 B,94.2 kB
2024-12-17 16:24:30,0 B,17.1 MB,0 B,28.7 kB
2024-12-17 16:24:45,0 B,6.08 MB,0 B,32.8 kB
2024-12-17 16:25:00,0 B,0 B,0 B,32.8 kB
2024-12-17 16:25:15,0 B,0 B,0 B,90.1 kB
2024-12-17 16:25:30,0 B,0 B,0 B,36.9 kB
2024-12-17 16:25:45,0 B,0 B,0 B,36.9 kB
2024-12-17 16:26:00,0 B,0 B,0 B,36.9 kB
2024-12-17 16:26:15,0 B,0 B,0 B,98.3 kB
2024-12-17 16:26:30,0 B,599 MB,0 B,41.0 kB
2024-12-17 16:26:45,0 B,392 MB,0 B,41.0 kB
2024-12-17 16:27:00,0 B,465 MB,0 B,41.0 kB
2024-12-17 16:27:15,0 B,216 MB,0 B,115 kB
2024-12-17 16:27:30,0 B,18.2 MB,0 B,53.2 kB
2024-12-17 16:27:45,0 B,4.88 MB,0 B,20.5 kB
2024-12-17 16:28:00,0 B,5.35 MB,0 B,20.5 kB
2024-12-17 16:28:15,0 B,6.12 MB,0 B,127 kB
2024-12-17 16:28:30,0 B,126 MB,0 B,24.6 kB
2024-12-17 16:28:45,0 B,268 MB,0 B,24.6 kB
2024-12-17 16:29:00,0 B,67.9 MB,0 B,28.7 kB
2024-12-17 16:29:15,0 B,124 MB,0 B,115 kB
2024-12-17 16:29:30,0 B,186 MB,0 B,28.7 kB
2024-12-17 16:29:45,0 B,215 MB,0 B,32.8 kB
2024-12-17 16:30:00,0 B,397 MB,0 B,32.8 kB
2024-12-17 16:30:15,0 B,186 MB,0 B,90.1 kB
2024-12-17 16:30:30,0 B,388 MB,0 B,36.9 kB
2024-12-17 16:30:45,0 B,191 MB,0 B,36.9 kB
