"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-19 18:15:30,0 W,96.2 mW,120 mW,11.9 W
2024-12-19 18:15:45,0 W,1.01 W,101 mW,12.7 W
2024-12-19 18:16:00,0 W,3.81 W,127 mW,12.8 W
2024-12-19 18:16:15,0 W,5.13 W,76.5 mW,12.9 W
2024-12-19 18:16:30,0 W,7.30 W,104 mW,13.0 W
2024-12-19 18:16:45,0 W,9.38 W,102 mW,12.8 W
2024-12-19 18:17:00,0 W,12.8 W,404 mW,12.0 W
2024-12-19 18:17:15,0 W,13.6 W,407 mW,12.1 W
2024-12-19 18:17:30,0 W,15.3 W,233 mW,12.3 W
2024-12-19 18:17:45,0 W,16.4 W,517 mW,12.3 W
2024-12-19 18:18:00,0 W,18.6 W,478 mW,12.8 W
2024-12-19 18:18:15,0 W,20.8 W,347 mW,12.8 W
2024-12-19 18:18:30,0 W,18.0 W,348 mW,12.8 W
2024-12-19 18:18:45,0 W,19.5 W,186 mW,12.8 W
2024-12-19 18:19:00,0 W,21.2 W,564 mW,13.0 W
2024-12-19 18:19:15,0 W,21.7 W,321 mW,12.9 W
2024-12-19 18:19:30,0 W,21.7 W,739 mW,12.8 W
2024-12-19 18:19:45,0 W,20.9 W,295 mW,13.0 W
2024-12-19 18:20:00,0 W,21.8 W,648 mW,13.1 W
2024-12-19 18:20:15,0 W,22.2 W,219 mW,13.5 W
2024-12-19 18:20:30,0 W,22.0 W,138 mW,13.9 W
2024-12-19 18:20:45,0 W,22.4 W,110 mW,13.8 W
2024-12-19 18:21:00,0 W,22.0 W,138 mW,13.9 W
2024-12-19 18:21:15,0 W,21.7 W,110 mW,13.8 W
2024-12-19 18:21:30,0 W,21.5 W,81.1 mW,13.4 W
2024-12-19 18:21:45,0 W,21.2 W,194 mW,14.0 W
2024-12-19 18:22:00,0 W,19.6 W,134 mW,13.2 W
2024-12-19 18:22:15,0 W,18.2 W,139 mW,13.9 W
2024-12-19 18:22:30,0 W,21.1 W,111 mW,13.9 W
2024-12-19 18:22:45,0 W,20.0 W,139 mW,14.0 W
2024-12-19 18:23:00,0 W,21.1 W,109 mW,13.7 W
2024-12-19 18:23:15,0 W,20.2 W,137 mW,13.9 W
2024-12-19 18:23:30,0 W,20.0 W,55.2 mW,13.9 W
2024-12-19 18:23:45,0 W,20.4 W,162 mW,13.3 W
2024-12-19 18:24:00,0 W,18.3 W,321 mW,12.8 W
2024-12-19 18:24:15,0 W,18.9 W,531 mW,12.7 W
2024-12-19 18:24:30,0 W,19.1 W,424 mW,12.7 W
2024-12-19 18:24:45,0 W,21.0 W,398 mW,12.6 W
2024-12-19 18:25:00,0 W,19.3 W,450 mW,12.6 W
2024-12-19 18:25:15,0 W,17.3 W,481 mW,12.8 W
2024-12-19 18:25:30,0 W,17.7 W,481 mW,12.6 W
2024-12-19 18:25:45,0 W,17.1 W,315 mW,12.4 W
2024-12-19 18:26:00,0 W,17.4 W,582 mW,12.6 W
2024-12-19 18:26:15,0 W,18.4 W,449 mW,12.5 W
2024-12-19 18:26:30,0 W,18.5 W,427 mW,12.7 W
2024-12-19 18:26:45,0 W,20.5 W,507 mW,12.7 W
2024-12-19 18:27:00,0 W,18.9 W,399 mW,12.7 W
2024-12-19 18:27:15,0 W,18.7 W,387 mW,13.7 W
2024-12-19 18:27:30,0 W,19.4 W,139 mW,13.9 W
2024-12-19 18:27:45,0 W,21.6 W,138 mW,13.8 W
2024-12-19 18:28:00,0 W,19.6 W,169 mW,14.2 W
2024-12-19 18:28:15,0 W,22.1 W,111 mW,14.0 W
2024-12-19 18:28:30,0 W,21.0 W,137 mW,13.8 W
2024-12-19 18:28:45,0 W,19.4 W,109 mW,13.4 W
2024-12-19 18:29:00,0 W,19.9 W,111 mW,14.0 W
2024-12-19 18:29:15,0 W,23.0 W,139 mW,14.0 W
2024-12-19 18:29:30,0 W,22.1 W,110 mW,13.8 W
2024-12-19 18:29:45,0 W,19.8 W,111 mW,14.0 W
2024-12-19 18:30:00,0 W,22.5 W,83.3 mW,13.9 W
2024-12-19 18:30:15,0 W,21.5 W,112 mW,14.1 W
2024-12-19 18:30:30,0 W,21.9 W,220 mW,13.6 W
2024-12-19 18:30:45,0 W,21.9 W,323 mW,13.0 W
2024-12-19 18:31:00,0 W,21.0 W,297 mW,13.1 W
2024-12-19 18:31:15,0 W,20.4 W,645 mW,13.1 W
2024-12-19 18:31:30,0 W,21.4 W,185 mW,12.7 W
2024-12-19 18:31:45,0 W,18.1 W,641 mW,12.8 W
2024-12-19 18:32:00,0 W,19.2 W,665 mW,12.8 W
2024-12-19 18:32:15,0 W,20.1 W,636 mW,12.6 W
2024-12-19 18:32:30,0 W,19.2 W,595 mW,13.0 W
2024-12-19 18:32:45,0 W,20.1 W,342 mW,12.5 W
2024-12-19 18:33:00,0 W,20.6 W,510 mW,12.9 W
2024-12-19 18:33:15,0 W,20.8 W,477 mW,12.7 W
2024-12-19 18:33:30,0 W,22.6 W,642 mW,12.9 W
2024-12-19 18:33:45,0 W,18.9 W,457 mW,12.9 W
2024-12-19 18:34:00,0 W,21.0 W,215 mW,13.0 W
2024-12-19 18:34:15,0 W,21.4 W,166 mW,14.0 W
2024-12-19 18:34:30,0 W,22.6 W,111 mW,14.0 W
2024-12-19 18:34:45,0 W,22.2 W,138 mW,14.0 W
2024-12-19 18:35:00,0 W,20.6 W,110 mW,14.0 W
2024-12-19 18:35:15,0 W,19.1 W,56.1 mW,14.1 W
2024-12-19 18:35:30,0 W,21.8 W,83.2 mW,13.9 W
2024-12-19 18:35:45,0 W,16.8 W,134 mW,13.4 W
2024-12-19 18:36:00,0 W,21.5 W,138 mW,13.8 W
2024-12-19 18:36:15,0 W,21.4 W,110 mW,13.9 W
2024-12-19 18:36:30,0 W,19.5 W,167 mW,14.0 W
2024-12-19 18:36:45,0 W,20.0 W,83.4 mW,14.0 W
2024-12-19 18:37:00,0 W,20.3 W,140 mW,14.0 W
2024-12-19 18:37:15,0 W,21.3 W,111 mW,13.9 W
2024-12-19 18:37:30,0 W,20.7 W,138 mW,13.9 W
2024-12-19 18:37:45,0 W,19.7 W,292 mW,12.8 W
2024-12-19 18:38:00,0 W,21.8 W,635 mW,12.6 W
2024-12-19 18:38:15,0 W,21.6 W,401 mW,12.9 W
2024-12-19 18:38:30,0 W,22.1 W,615 mW,12.8 W
2024-12-19 18:38:45,0 W,22.1 W,430 mW,12.8 W
2024-12-19 18:39:00,0 W,22.0 W,369 mW,12.6 W
2024-12-19 18:39:15,0 W,20.3 W,375 mW,12.9 W
2024-12-19 18:39:30,0 W,19.5 W,607 mW,12.5 W
2024-12-19 18:39:45,0 W,18.7 W,376 mW,12.9 W
2024-12-19 18:40:00,0 W,18.9 W,347 mW,12.7 W
2024-12-19 18:40:15,0 W,19.2 W,188 mW,12.8 W
2024-12-19 18:40:30,0 W,16.8 W,293 mW,12.8 W
2024-12-19 18:40:45,0 W,21.5 W,577 mW,12.4 W
2024-12-19 18:41:00,0 W,20.3 W,139 mW,14.0 W
2024-12-19 18:41:15,0 W,20.4 W,110 mW,13.8 W
2024-12-19 18:41:30,0 W,21.0 W,83.3 mW,14.0 W
2024-12-19 18:41:45,0 W,20.7 W,111 mW,14.0 W
2024-12-19 18:42:00,0 W,22.4 W,165 mW,13.9 W
2024-12-19 18:42:15,0 W,22.9 W,82.9 mW,13.9 W
2024-12-19 18:42:30,0 W,22.0 W,136 mW,13.7 W
2024-12-19 18:42:45,0 W,22.1 W,81.0 mW,13.6 W
2024-12-19 18:43:00,0 W,22.2 W,109 mW,13.7 W
2024-12-19 18:43:15,0 W,21.4 W,137 mW,13.7 W
2024-12-19 18:43:30,0 W,22.4 W,82.5 mW,13.8 W
2024-12-19 18:43:45,0 W,21.3 W,137 mW,13.7 W
2024-12-19 18:44:00,0 W,22.3 W,137 mW,13.8 W
2024-12-19 18:44:15,0 W,21.8 W,109 mW,13.7 W
2024-12-19 18:44:30,0 W,21.3 W,288 mW,12.6 W
2024-12-19 18:44:45,0 W,19.1 W,468 mW,12.5 W
2024-12-19 18:45:00,0 W,20.4 W,743 mW,12.7 W
2024-12-19 18:45:15,0 W,16.4 W,488 mW,13.0 W
2024-12-19 18:45:30,0 W,21.5 W,644 mW,12.9 W
