Time, 100_1_Direct_3_100 , 100_1_Fanout_3_100 , 300_1_Direct_500_500 , 300_1_Fanout_500_500 
00:00:00, 0.233 W , 3.32 W , 1.64 W , 0.353 W 
00:00:15, 1.26 W , 6.73 W , 1.43 W , 0.389 W 
00:00:30, 6.10 W , 12.3 W , 2.10 W , 2.06 W 
00:00:45, 8.51 W , 15.2 W , 3.09 W , 2.25 W 
00:01:00, 12.7 W , 13.0 W , 5.21 W , 2.48 W 
00:01:15, 14.3 W , 14.3 W , 5.43 W , 2.49 W 
00:01:30, 15.1 W , 15.1 W , 4.99 W , 2.44 W 
00:01:45, 16.4 W , 15.0 W , 5.33 W , 2.85 W 
00:02:00, 16.2 W , 15.8 W , 5.40 W , 3.12 W 
00:02:15, 16.8 W , 15.1 W , 4.64 W , 3.82 W 
00:02:30, 16.9 W , 16.4 W , 4.89 W , 3.49 W 
00:02:45, 17.1 W , 15.5 W , 4.94 W , 4.76 W 
00:03:00, 17.3 W , 14.9 W , 4.56 W , 4.47 W 
00:03:15, 17.0 W , 14.9 W , 4.84 W , 5.00 W 
00:03:30, 17.4 W , 12.0 W , 4.89 W , 4.46 W 
00:03:45, 16.8 W , 14.8 W , 4.57 W , 4.92 W 
00:04:00, 17.2 W , 15.2 W , 4.45 W , 5.02 W 
00:04:15, 16.6 W , 15.7 W , 5.11 W , 5.32 W 
00:04:30, 17.7 W , 15.6 W , 4.45 W , 3.99 W 
00:04:45, 16.4 W , 15.1 W , 5.03 W , 4.03 W 
00:05:00, 17.0 W , 14.7 W , 4.96 W , 3.85 W 
00:05:15, 17.6 W , 13.6 W , 4.69 W , 4.21 W 
00:05:30, 15.8 W , 15.5 W , 4.96 W , 4.75 W 
00:05:45, 16.5 W , 14.3 W , 4.57 W , 4.55 W 
00:06:00, 15.6 W , 16.6 W , 4.92 W , 4.64 W 
00:06:15, 16.9 W , 16.3 W , 5.04 W , 4.49 W 
00:06:30, 16.6 W , 14.2 W , 4.66 W , 4.54 W 
00:06:45, 16.7 W , 10.4 W , 5.25 W , 4.02 W 
00:07:00, 17.1 W , 14.9 W , 5.10 W , 4.36 W 
00:07:15, 15.9 W , 14.9 W , 4.47 W , 4.20 W 
00:07:30, 15.9 W , 14.8 W , 4.48 W , 4.17 W 
00:07:45, 16.1 W , 13.2 W , 4.74 W , 4.05 W 
00:08:00, 16.4 W , 13.0 W , 4.87 W , 3.91 W 
00:08:15, 17.1 W , 15.0 W , 4.62 W , 3.81 W 
00:08:30, 17.0 W , 15.2 W , 3.76 W , 4.07 W 
00:08:45, 15.0 W , 16.0 W , 4.66 W , 3.42 W 
00:09:00, 15.7 W , 16.2 W , 4.52 W , 4.55 W 
00:09:15, 14.7 W , 16.5 W , 4.18 W , 4.49 W 
00:09:30, 15.2 W , 16.0 W , 4.13 W , 4.67 W 
00:09:45, 15.7 W , 15.7 W , 4.80 W , 4.68 W 
00:10:00, 14.8 W , 14.4 W , 4.36 W , 4.21 W 
00:10:15, 16.0 W , 15.4 W , 4.57 W , 4.34 W 
00:10:30, 11.3 W , 16.0 W , 4.56 W , 3.82 W 
00:10:45, 15.2 W , 15.1 W , 4.66 W , 4.36 W 
00:11:00, 15.5 W , 15.5 W , 4.63 W , 4.09 W 
00:11:15, 15.0 W , 14.2 W , 4.86 W , 4.16 W 
00:11:30, 14.3 W , 15.2 W , 5.05 W , 4.62 W 
00:11:45, 16.8 W , 14.9 W , 4.88 W , 3.97 W 
00:12:00, 17.1 W , 14.2 W , 4.90 W , 4.39 W 
00:12:15, 13.0 W , 13.6 W , 4.43 W , 4.87 W 
00:12:30, 16.7 W , 12.9 W , 4.97 W , 4.87 W 
00:12:45, 14.8 W , 14.0 W , 4.82 W , 5.34 W 
00:13:00, 14.8 W , 13.9 W , 5.09 W , 4.68 W 
00:13:15, 15.8 W , 12.5 W , 5.27 W , 5.04 W 
00:13:30, 16.0 W , 14.8 W , 4.51 W , 5.28 W 
00:13:45, 16.7 W , 15.6 W , 4.24 W , 4.66 W 
00:14:00, 16.0 W , 16.0 W , 4.96 W , 5.13 W 
00:14:15, 15.9 W , 15.8 W , 4.42 W , 5.01 W 
00:14:30, 15.7 W , 15.3 W , 4.98 W , 4.14 W 
00:14:45, 16.2 W , 14.0 W , 5.11 W , 5.93 W 
00:15:00, 16.3 W , 16.3 W , 4.71 W , 4.62 W 
00:15:15, 15.2 W , 15.2 W , 4.82 W , 4.80 W 
00:15:30, 16.5 W , 14.8 W , 4.53 W , 4.75 W 
00:15:45, 15.3 W , 15.7 W , 4.87 W , 4.78 W 
00:16:00, 13.0 W , 14.3 W , 4.97 W , 4.64 W 
00:16:15, 13.8 W , 16.3 W , 4.86 W , 4.51 W 
00:16:30, 15.5 W , 16.6 W , 4.32 W , 5.08 W 
00:16:45, 16.3 W , 15.1 W , 4.40 W , 4.63 W 
00:17:00, 15.9 W , 15.3 W , 4.44 W , 4.44 W 
00:17:15, 16.3 W , 14.7 W , 5.15 W , 4.86 W 
00:17:30, 16.2 W , 16.3 W , 4.72 W , 4.31 W 
00:17:45, 15.7 W , 16.2 W , 4.71 W , 5.05 W 
00:18:00, 17.5 W , 16.0 W , 4.51 W , 5.00 W 
00:18:15, 17.7 W , 16.4 W , 4.22 W , 4.87 W 
00:18:30, 17.6 W , 16.1 W , 4.01 W , 4.78 W 
00:18:45, 17.1 W , 16.1 W , 5.13 W , 4.66 W 
00:19:00, 16.5 W , 15.4 W , 5.23 W , 4.87 W 
00:19:15, 15.7 W , 15.5 W , 4.97 W , 5.13 W 
00:19:30, 16.1 W , 14.7 W , 4.44 W , 5.06 W 
00:19:45, 16.4 W , 15.7 W , 4.88 W , 5.03 W 
00:20:00, 14.7 W , 14.9 W , 4.22 W , 5.40 W 
00:20:15, 14.4 W , 13.8 W , 4.66 W , 4.56 W 
00:20:30, 16.1 W , 14.9 W , 4.43 W , 4.58 W 
00:20:45, 14.8 W , 15.8 W , 4.43 W , 4.85 W 
00:21:00, 17.0 W , 16.2 W , 4.56 W , 4.65 W 
00:21:15, 16.5 W , 16.7 W , 4.21 W , 3.97 W 
00:21:30, 15.1 W , 15.4 W , 4.12 W , 4.95 W 
00:21:45, 17.3 W , 14.3 W , 4.32 W , 5.15 W 
00:22:00, 16.4 W , 17.2 W , 4.89 W , 3.74 W 
00:22:15, 17.0 W , 15.7 W , 4.59 W , 4.02 W 
00:22:30, 17.3 W , 15.5 W , 4.30 W , 4.53 W 
00:22:45, 16.7 W , 16.4 W , 4.42 W , 4.70 W 
00:23:00, 16.3 W , 16.2 W , 4.42 W , 5.00 W 
00:23:15, 16.2 W , 17.1 W , 4.64 W , 3.69 W 
00:23:30, 15.3 W , 16.1 W , 5.23 W , 4.49 W 
00:23:45, 16.1 W , 16.4 W , 5.40 W , 5.32 W 
00:24:00, 14.9 W , 16.9 W , 4.58 W , 3.38 W 
00:24:15, 15.6 W , 17.1 W , 4.78 W , 4.87 W 
00:24:30, 15.2 W , 15.6 W , 4.74 W , 4.71 W 
00:24:45, 16.9 W , 16.9 W , 4.82 W , 4.96 W 
00:25:00, 16.2 W , 14.9 W , 4.31 W , 4.55 W 
00:25:15, 16.9 W , 16.0 W , 4.38 W , 4.59 W 
00:25:30, 16.5 W , 15.2 W , 4.70 W , 5.18 W 
00:25:45, 16.1 W , 14.9 W , 4.88 W , 5.15 W 
00:26:00, 17.0 W , 14.0 W , 4.87 W , 4.44 W 
00:26:15, 17.0 W , 14.9 W , 4.88 W , 5.21 W 
00:26:30, 17.1 W , 16.6 W , 4.42 W , 4.78 W 
00:26:45, 17.5 W , 15.2 W , 4.65 W , 5.52 W 
00:27:00, 17.0 W , 14.6 W , 4.62 W , 4.71 W 
00:27:15, 15.6 W , 15.2 W , 4.63 W , 5.44 W 
00:27:30, 17.7 W , 16.3 W , 4.57 W , 4.70 W 
00:27:45, 15.9 W , 17.1 W , 3.97 W , 4.90 W 
00:28:00, 16.6 W , 17.0 W , 3.89 W , 5.34 W 
00:28:15, 15.8 W , 16.7 W , 4.57 W , 4.66 W 
00:28:30, 16.3 W , 14.5 W , 4.65 W , 4.45 W 
00:28:45, 15.2 W , 15.7 W , 4.54 W , 5.41 W 
00:29:00, 16.9 W , 15.7 W , 4.98 W , 5.13 W 
00:29:15, 17.0 W , 16.4 W , 5.08 W , 4.98 W 
00:29:30, 17.0 W , 15.7 W , 4.99 W , 5.28 W 
00:29:45, 16.6 W , 17.2 W , 5.17 W , 4.70 W 
00:30:00, 16.3 W , 15.2 W , 5.27 W , 4.82 W 
