Experiment,Average Disk Access (MB)
100_1_Direct_3_100,0.0
100_1_Fanout_3_100,0.0
100_1_Direct_3_500,135.19
100_1_Fanout_3_500,123.92
100_1_Direct_3_1000,126.79
100_1_Fanout_3_1000,151.21
300_1_Direct_3_100,0.0
300_1_Fanout_3_100,0.01
300_1_Direct_3_500,134.77
300_1_Fanout_3_500,130.29
300_1_Direct_3_1000,158.84
300_1_Fanout_3_1000,83.69
100_1_Direct_100_100,0.0
100_1_Fanout_100_100,0.0
100_1_Direct_500_500,0.0
100_1_Fanout_500_500,0.0
100_1_Direct_1000_1000,0.0
100_1_Fanout_1000_1000,0.0
300_1_Direct_100_100,0.0
300_1_Fanout_100_100,0.0
300_1_Direct_500_500,0.0
300_1_Fanout_500_500,0.02
300_1_Direct_1000_1000,0.0
300_1_Fanout_1000_1000,0.0
100_1_Topic_3_3,0.0
100_1_Topic_3_50,0.0
100_1_Topic_3_100,0.0
100_1_Topic_3_500,120.91
100_1_Topic_3_1000,148.13
100_1_Topic_100_100,0.0
100_1_Topic_500_500,0.0
100_1_Topic_1000_1000,0.0
300_1_Topic_3_3,0.0
300_1_Topic_3_50,0.05
300_1_Topic_3_100,0.0
300_1_Topic_3_500,148.69
300_1_Topic_3_1000,147.37
300_1_Topic_100_100,0.0
300_1_Topic_500_500,0.0
300_1_Topic_1000_1000,0.0
