Experiment name,Messages_rate,Routing_Keys,Exchanges,Consumers-Queues,Messages_Routing,Messages_Exchanges,Messages_Consumers,Routing_Exchanges,Routing_Consumers,Exchanges_Consumers,Messages_Routing_Exchanges,Messages_Routing_Consumers,Messages_Exchanges_Consumers,Routing_Exchanges_Consumers,Messages_Routing_Exchanges_Consumers,Avg_Power_Consumption_mW,avg_disk_access_MB,avg_cpu_usage_%,avg_memory_usage_MB
100_1_Fanout_3_100,-1.0,-1.0,-0.995995995995996,-1.0,1.0,0.995995995995996,1.0,0.995995995995996,1.0,0.995995995995996,-0.995995995995996,-1.0,-0.995995995995996,-0.995995995995996,0.995995995995996,15098.75,0.0,7.27,249.97
100_1_Fanout_3_500,-1.0,-1.0,-0.995995995995996,-0.11111111111111116,1.0,0.995995995995996,0.11111111111111116,0.995995995995996,0.11111111111111116,0.11066622177733293,-0.995995995995996,-0.11111111111111116,-0.11066622177733293,-0.11066622177733293,0.11066622177733293,127188.42,123.92,23.17,4706.97
100_1_Fanout_3_1000,-1.0,-1.0,-0.995995995995996,1.0,1.0,0.995995995995996,-1.0,0.995995995995996,-1.0,-0.995995995995996,-0.995995995995996,1.0,0.995995995995996,0.995995995995996,-0.995995995995996,148390.58,151.21,25.42,9384.35
300_1_Fanout_3_100,1.0,-1.0,-0.995995995995996,-1.0,-1.0,-0.995995995995996,-1.0,0.995995995995996,1.0,0.995995995995996,0.995995995995996,1.0,0.995995995995996,-0.995995995995996,-0.995995995995996,39603.3,0.01,16.55,297.52
300_1_Fanout_3_500,1.0,-1.0,-0.995995995995996,-0.11111111111111116,-1.0,-0.995995995995996,-0.11111111111111116,0.995995995995996,0.11111111111111116,0.11066622177733293,0.995995995995996,0.11111111111111116,0.11066622177733293,-0.11066622177733293,-0.11066622177733293,165369.74,130.29,29.51,6730.03
300_1_Fanout_3_1000,1.0,-1.0,-0.995995995995996,1.0,-1.0,-0.995995995995996,1.0,0.995995995995996,-1.0,-0.995995995995996,0.995995995995996,-1.0,-0.995995995995996,0.995995995995996,0.995995995995996,115327.5,83.69,21.13,7331.74
100_1_Fanout_100_100,-1.0,-0.8054162487462387,-0.8018018018018018,-1.0,0.8054162487462387,0.8018018018018018,1.0,0.6457841994451824,0.8054162487462387,0.8018018018018018,-0.6457841994451824,-0.8054162487462387,-0.8018018018018018,-0.6457841994451824,0.6457841994451824,1321.9,0.0,0.75,193.63
100_1_Fanout_500_500,-1.0,-0.0030090270812437314,-0.0010010010010009784,-0.11111111111111116,0.0030090270812437314,0.0010010010010009784,0.11111111111111116,3.012039120364028e-06,0.0003343363423604148,0.0001112223334445532,-3.012039120364028e-06,-0.0003343363423604148,-0.0001112223334445532,-3.34671013373781e-07,3.34671013373781e-07,2169.91,0.0,1.09,256.57
100_1_Fanout_1000_1000,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,2657.33,0.0,1.33,319.98
300_1_Fanout_100_100,1.0,-0.8054162487462387,-0.8018018018018018,-1.0,-0.8054162487462387,-0.8018018018018018,-1.0,0.6457841994451824,0.8054162487462387,0.8018018018018018,0.6457841994451824,0.8054162487462387,0.8018018018018018,-0.6457841994451824,-0.6457841994451824,3103.79,0.0,1.56,192.26
300_1_Fanout_500_500,1.0,-0.0030090270812437314,-0.0010010010010009784,-0.11111111111111116,-0.0030090270812437314,-0.0010010010010009784,-0.11111111111111116,3.012039120364028e-06,0.0003343363423604148,0.0001112223334445532,3.012039120364028e-06,0.0003343363423604148,0.0001112223334445532,-3.34671013373781e-07,-3.34671013373781e-07,4441.17,0.02,2.2,289.56
300_1_Fanout_1000_1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5289.06,0.0,2.65,396.46
100_1_Direct_3_100,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,15691.76,0.0,7.17,248.39
